学年,対象の漢字,問題,答え
小５,混,コンランを招く,混乱
小５,査,アンケートをチョウサする,調査
小５,査,血液ケンサ,検査
小５,査,ササツが入る,査察
小５,再,試合をサイカイする,再開
小５,再,フタタび会う,再
小５,再,サイセイ紙,再生
小５,災,サイガイに備える,災害
小５,災,カサイ報知器,火災
小５,災,ワザワいを防ぐ,災
小５,妻,フサイで出席する,夫妻
小５,妻,ツマと出かける,妻
小５,妻,サイシを養う,妻子
小５,採,昆虫をサイシュウする,採集
小５,採,きのこをトる,採
小５,採,社員をサイヨウする,採用
小５,際,コクサイ交流,国際
小５,際,ジッサイの様子,実際
小５,際,コウサイ相手,交際
小５,在,ゲンザイの時刻,現在
小５,在,フザイ着信,不在
小５,在,ホテルにタイザイする,滞在
小５,財,ザイサンを分ける,財産
小５,財,文化ザイ,財
小５,財,ザイセイ状況,財政
小５,罪,シャザイの言葉,謝罪
小５,罪,ツミを償う,罪
小５,罪,ハンザイを防ぐ,犯罪
小５,雑,ザツオンが入る,雑音
小５,雑,ザツボキ林,雑木
小５,雑,ザッシを読む,雑誌
小５,酸,サンソボンベ,酸素
小５,酸,サンセイの土,酸性
小５,酸,タンサン水,炭酸
小５,賛,意見にサンセイする,賛成
小５,賛,ザンドウを求める,賛同
小５,賛,ショウサンを浴びる,賞賛
小５,支,シチュウを立てる,支柱
小５,支,体をササえる,支
小５,支,シハライを済ませる,支払
小５,志,強いイシ,意志
小５,志,医者をココロザす,志
小５,志,シガン理由,志願
小５,枝,エダハを切り落とす,枝葉
小５,枝,木のエダ,枝
小５,枝,コエダを拾う,小枝
小５,師,キョウシになる,教師
小５,師,ギシの資格,技師
小５,師,イシの診断,医師
小５,資,シリョウを集める,資料
小５,資,救援ブッシ,物資
小５,資,シホン金,資本
小５,飼,動物をシイクする,飼育
小５,飼,犬をカう,飼
小５,飼,シバを与える,飼葉
小５,示,方向をヒョウジする,表示
小５,示,例をシメす,示
小５,示,シジを出す,指示
小５,似,ニた者同士,似
小５,似,ルイジ品に注意,類似
小５,似,ニガオエを描く,似顔絵
小５,識,イシキを失う,意識
小５,識,チシキを増やす,知識
小５,識,ジョウシキを疑う,常識
小５,質,シツモンに答える,質問
小５,質,ブッシツの変化,物質
小５,質,ヒンシツが良い,品質
小５,舎,古いコウシャ,校舎
小５,舎,ギュウシャの掃除,牛舎
小５,舎,キシュクシャに入る,寄宿舎
小５,謝,カンシャの気持ち,感謝
小５,謝,シャイを表す,謝意
小５,謝,ミスをアヤマる,謝
小５,授,ジュギョウが始まる,授業
小５,授,大学のキョウジュ,教授
小５,授,賞をサズける,授
小５,修,自転車をシュウリする,修理
小５,修,学問をオサめる,修
小５,修,シュウセイ液,修正
小５,述,主語とジュツゴ,述語
小５,述,意見をノべる,述
小５,述,キジュツ式の問題,記述
小５,術,ギジュツの授業,技術
小５,術,シュジュツを受ける,手術
小５,術,ビジュツ館,美術館
小５,準,ジュンビ体操,準備
小５,準,生活スイジュン,水準
小５,準,キジュンを満たす,基準
小５,序,ジュンジョよく並ぶ,順序
小５,序,本のジョショウ,序章
小５,序,ジョブンを読む,序文
小５,招,パーティーにショウタイする,招待
小５,招,手でマネく,招
小５,招,ショウシュウがかかる,招集
小５,承,事情をショウチする,承知
小５,承,リョウショウを得る,了承
小５,承,ウケタマワる,承
小５,証,無実をショウメイする,証明
小５,証,品質をホショウする,保証
小５,証,ショウコを見つける,証拠
小５,条,ジョウケンを満たす,条件
小５,条,平和ジョウヤク,条約
小５,条,ジョウブンを読む,条文
小５,状,健康ジョウタイ,状態
小５,状,ショウジョウをもらう,賞状
小５,状,ゲンジョウを維持する,現状
小５,常,ニチジョウ生活,日常
小５,常,ツネに努力する,常
小５,常,ヒジョウ事態,非常
小５,情,カンジョウを表に出す,感情
小５,情,ナサけない結果,情
小５,情,ジョウホウを集める,情報
小５,織,シキモノを広げる,織物
小５,織,ソシキを作る,組織
小５,織,布をオる,織
小５,職,ショクギョウ体験,職業
小５,職,学校のショクイン,職員
小５,職,シュウショク活動,就職
小５,制,学校のセイフク,制服
小５,制,新しいセイド,制度
小５,制,スピードをセイゲンする,制限
小５,性,セイカクが明るい,性格
小５,性,セイベツを問わない,性別
小５,性,ダンセイ用の服,男性
小５,政,セイジのニュース,政治
小５,政,セイフの発表,政府
小５,政,ギセイを払う,犠牲
小５,勢,タイセイの人が集まる,大勢
小５,勢,水のイキオい,勢
小５,勢,シセイを正す,姿勢
小５,精,セイシンを集中する,精神
小５,精,セイドが高い,精度
小５,精,セイミツな機械,精密
小５,製,セイヒンを開発する,製品
小５,製,ニホンセイの時計,日本製
小５,製,車をセイゾウする,製造
小５,税,ゼイキンを納める,税金
小５,税,カンゼイがかかる,関税
小５,税,ゾウゼイに反対する,増税
小５,責,セキニンをとる,責任
小５,責,失敗をセめる,責
小５,責,セキムを果たす,責務
小５,績,セイセキが上がる,成績
小５,績,コウセキをたたえる,功績
小５,績,ジッセキを残す,実績
小５,接,台風がセッキンする,接近
小５,接,ネットにセツゾクする,接続
小５,接,チョクセツ話す,直接
小５,設,セツビを整える,設備
小５,設,ルールをモウける,設
小５,設,ビルをケンセツする,建設
小５,舌,シタを出す,舌
小５,舌,ドクゼツを吐く,毒舌
小５,舌,ベンゼツが立つ,弁舌
小５,絶,ゼッタイに勝つ,絶対
小５,絶,連絡がタえる,絶
小５,絶,ダンゼツする,断絶
小５,銭,キンセンの貸し借り,金銭
小５,銭,サイセン箱,賽銭
小５,銭,コゼニを出す,小銭
小５,祖,センゾを敬う,先祖
小５,祖,ソフボに会う,祖父母
小５,祖,ソコクに帰る,祖国
小５,素,スイソガス,水素
小５,素,ソザイの味,素材
小５,素,スナオな性格,素直
小５,総,ソウゴウ的な学習,総合
小５,総,ソウゼイ百名,総勢
小５,総,ソウリ大臣,総理
小５,造,モクゾウの家,木造
小５,造,船をツクる,造
小５,造,ゾウカを飾る,造花
小５,像,仏ゾウ,像
小５,像,ドウゾウを建てる,銅像
小５,像,未来をソウゾウする,想像
小５,増,体重がゾウカする,増加
小５,増,スピードをマす,増
小５,増,水がフえる,増
小５,則,キソクを守る,規則
小５,則,コウソク違反,校則
小５,則,ハンソク負け,反則
小５,測,星をカンソクする,観測
小５,測,長さをハカる,測
小５,測,体重をソクテイする,測定
小５,属,フゾクの小学校,付属
小５,属,キンゾクの棒,金属
小５,属,クラブにショゾクする,所属
小５,率,カクリツを求める,確率
小５,率,チームをヒキいる,率
小５,率,ノウリツが上がる,能率
小５,損,ソンガイ賠償,損害
小５,損,機嫌をソコねる,損
小５,損,ソンシツが大きい,損失
小５,退,タイガクする,退学
小５,退,一歩シリゾく,退
小５,退,ゴウタイする,後退
小５,貸,タイシャク対照表,貸借
小５,貸,本をカす,貸
小５,貸,カしダし中,貸出
小５,態,タイドを改める,態度
小５,態,ジョウタイを確認する,状態
小５,態,緊急ジタイ,事態
小５,団,センシュダンが入場する,選手団
小５,団,ダンチに住む,団地
小５,団,シュウダン行動,集団
小５,断,ケーブルをセツダンする,切断
小５,断,誘いをコトワる,断
小５,断,ケツダンを下す,決断
小５,築,ケンチク家,建築
小５,築,城をキズく,築
小５,築,シンチクの家,新築
小５,張,海外にシュッチョウする,出張
小５,張,ロープをヒッパる,張
小５,張,キンチョウする,緊張
小５,提,計画をテイアンする,提案
小５,提,ゼンテイ条件,前提
小５,提,宿題をテイシュツする,提出
小５,程,テイド問題,程度
小５,程,コウテイ表を作る,工程
小５,程,ニッテイを組む,日程
小５,適,テキトウな長さに切る,適当
小５,適,テキドな運動,適度
小５,適,カイテキな環境,快適
小５,敵,ムテキの強さ,無敵
小５,敵,テキに塩を送る,敵
小５,敵,強豪にヒッテキする,匹敵
小５,統,ルールをトウイツする,統一
小５,統,デントウ工芸品,伝統
小５,統,トウケイをとる,統計
小５,銅,ドウメダルをとる,銅
小５,銅,ドウゾウを見る,銅像
小５,銅,セイドウの剣,青銅
小５,導,シドウに従う,指導
小５,導,成功にミチビく,導
小５,導,ドウニュウ部分,導入
小５,徳,ドウトクの授業,道徳
小５,徳,トクシマ県,徳島
小５,徳,ビトクとする,美徳
小５,独,ドクリツ記念日,独立
小５,独,ヒトリ言を言う,独
小５,独,ドクトクな味,独特
小５,任,ニンムを完了する,任務
小５,任,仕事をマカせる,任
小５,任,クラスのタンニン,担任
小５,燃,ネンリョウを補給する,燃料
小５,燃,ごみをモやす,燃
小５,燃,火がモえる,燃
小５,能,カノウ性が高い,可能
小５,能,ノウリョクを発揮する,能力
小５,能,サイノウがある,才能
小５,破,車がタイハする,大破
小５,破,紙をヤブる,破
小５,破,ハカイする,破壊
小５,犯,ハンザイをなくす,犯罪
小５,犯,ハンニンを捕まえる,犯人
小５,犯,ハンコウの動機,犯行
小５,判,ハンケツが下る,判決
小５,判,ハンダンに迷う,判断
小５,判,事実がハンメイする,判明
小５,版,本をシュッパンする,出版
小５,版,モクハンガを作る,木版画
小５,版,バンガの展覧会,版画
小５,比,ヒレイのグラフ,比例
小５,比,セクラベをする,比
小５,比,ヒカクして考える,比較
小５,肥,ヒリョウをまく,肥料
小５,肥,目がコえる,肥
小５,肥,ヒマン体型,肥満
小５,非,ヒジョウボタン,非常
小５,非,ヒバン日,非番
小５,非,ヒコウに走る,非行
小５,備,ヨビの電池,予備
小５,備,災害にソナえる,備
小５,備,ジュンビ体操,準備
小５,俵,ドヒョウに上がる,土俵
小５,俵,コメダワラを運ぶ,米俵
小５,俵,イッピョウの米,一俵
小５,評,ヒョウバンが良い,評判
小５,評,コウヒョウを博す,好評
小５,評,ヒョウカが高い,評価
小５,貧,ヒンボウな生活,貧乏
小５,貧,マズしい国,貧
小５,貧,ヒンコンをなくす,貧困
小５,布,法律をコウフする,公布
小５,布,ヌノで拭く,布
小５,布,モウフをかける,毛布
小５,婦,フジンフク売り場,婦人服
小５,婦,フウフで出かける,夫婦
小５,婦,シュフの仕事,主婦
小５,富,ホウフな知識,豊富
小５,富,トみに恵まれる,富
小５,富,フジサンに登る,富士山
小５,武,昔のブシ,武士
小５,武,ムシャぶるい,武者
小５,武,ブキを持つ,武器
小５,復,フクシュウをする,復習
小５,復,体力がカイフクする,回復
小５,復,フッカツ祭,復活
小５,複,フクザツな形,複雑
小５,複,フクゴウ施設,複合
小５,複,フクスウの答え,複数
小５,仏,ネンブツを唱える,念仏
小５,仏,ホトケ様,仏
小５,仏,ダイブツを見る,大仏
小５,編,動画をヘンシュウする,編集
小５,編,セーターをアむ,編
小５,編,タンペン小説,短編
小５,弁,おベントウを食べる,弁当
小５,弁,ハナベンが散る,花弁
小５,弁,ベンカイする,弁解
小５,保,荷物をホカンする,保管
小５,保,バランスをタモつ,保
小５,保,自然ホゴ,保護
小５,墓,ボチに埋葬する,墓地
小５,墓,おハカ参り,墓
小５,墓,ハカマイりに行く,墓参
小５,報,天気ヨホウ,予報
小５,報,ホウドウ番組,報道
小５,報,ホウコク書,報告
小５,豊,ホウサクを祝う,豊作
小５,豊,ユタかな自然,豊
小５,豊,ホウフな話題,豊富
小５,防,事故のボウシ,防止
小５,防,被害をフセぐ,防
小５,防,ボウサイ訓練,防災
小５,貿,ボウエキ港,貿易
小５,貿,ボウエキセンが入港する,貿易船
小５,貿,自由ボウエキ,自由貿易
小５,暴,ボウフウ雨,暴風
小５,暴,馬がアバれる,暴
小５,暴,ボウリョクを振るう,暴力
小５,務,ジムショで働く,事務所
小５,務,主役をツトめる,務
小５,務,ギム教育,義務
小５,夢,遊びにムチュウだ,夢中
小５,夢,ハツユメを見る,初夢
小５,夢,ユメを叶える,夢
小５,迷,メイワクをかける,迷惑
小５,迷,道にマヨう,迷
小５,迷,マヨいが生じる,迷
小５,綿,メンカを栽培する,綿花
小５,綿,モメンのシャツ,木綿
小５,綿,ワタあめ,綿
小５,輸,車をユシュツする,輸出
小５,輸,石油のユニュウ,輸入
小５,輸,ユソウ機,輸送
小５,余,ヨブンな力,余分
小５,余,お菓子がアマる,余
小５,余,ヨユウがある,余裕
小５,預,銀行にヨキンする,預金
小５,預,荷物をアズける,預
小５,預,子供をアズかる,預
小５,容,ヨウキに入れる,容器
小５,容,ナイヨウを理解する,内容
小５,容,ビヨウ院に行く,美容
小５,略,説明をショウリャクする,省略
小５,略,リャクジで書く,略字
小５,略,センリャクを立てる,戦略
小５,留,海外へリュウガクする,留学
小５,留,ルス番をする,留守
小５,留,判断をホリュウする,保留
小５,領,リョウチを広げる,領地
小５,領,ダイトウリョウの演説,大統領
小５,領,リョウド問題,領土
小５,,,
小５,,,
小５,```,,
小５,,,
小５,対象の漢字,問題,答え
小５,圧,アツリョクをかける,圧力
小５,圧,ケツアツを測る,血圧
小５,圧,キアツの変化,気圧
小５,移,別の場所にウツる,移
小５,移,お店がイテンする,移転
小５,移,机をイドウさせる,移動
小５,因,失敗のゲンイン,原因
小５,因,インガ関係を調べる,因果
小５,因,ヨウインを分析する,要因
小５,永,エイエンの愛,永遠
小５,永,エイキュウ保存,永久
小５,永,エイミンする,永眠
小５,営,店をイトナむ,営
小５,営,会社をケイエイする,経営
小５,営,エイギョウ中のお店,営業
小５,衛,エイセイ的な環境,衛生
小５,衛,人工エイセイ,衛星
小５,衛,国をボウエイする,防衛
小５,易,ヤサしい問題,易
小５,易,海外とボウエキする,貿易
小５,易,ヨウイに解決する,容易
小５,益,リエキを計算する,利益
小５,益,ユウエキな情報,有益
小５,益,会社のシュウエキ,収益
小５,液,エキタイを混ぜる,液体
小５,液,ケツエキ型,血液
小５,液,エキショウ画面,液晶
小５,演,エンゲキを見る,演劇
小５,演,コウエン会を開く,講演
小５,演,ピアノのエンソウ,演奏
小５,応,選手をオウエンする,応援
小５,応,化学ハンノウ,反応
小５,応,オウヨウ問題,応用
小５,往,オウフク切符,往復
小５,往,車のオウライ,往来
小５,往,ウオウサオウする,右往左往
小５,桜,サクラの花,桜
小５,桜,ヤザクラを見る,夜桜
小５,桜,サクラ前線,桜
小５,恩,オンガエシをする,恩返し
小５,恩,命のオンジン,恩人
小５,恩,小学校のオンシ,恩師
小５,可,フカケツな要素,不可欠
小５,可,カノウ性を信じる,可能
小５,可,先生のキョカ,許可
小５,仮,カリの姿,仮
小５,仮,カセツを立てる,仮説
小５,仮,カナづかい,仮名
小５,価,商品のカカク,価格
小５,価,作品をヒョウカする,評価
小５,価,ブッカが上がる,物価
小５,河,カワのほとり,河
小５,河,大きなカコウ,河口
小５,河,カセン工事,河川
小５,過,カコを振り返る,過去
小５,過,電車がツウカする,通過
小５,過,アヤマちを認める,過
小５,賀,ネンガ状,年賀
小５,賀,シュクガ会,祝賀
小５,賀,ガショウの挨拶,賀正
小５,快,カイテキな部屋,快適
小５,快,ココロヨく引き受ける,快
小５,快,カイセイの空,快晴
小５,解,問題をトく,解
小５,解,カイケツ策,解決
小５,解,内容をリカイする,理解
小５,格,試験にゴウカクする,合格
小５,格,カクシキ高い,格式
小５,格,ジンカクを疑う,人格
小５,確,安全をタシかめる,確
小５,確,カクニンする,確認
小５,確,セイカクな時計,正確
小５,額,ヒタイに汗をかく,額
小５,額,キンガクを計算する,金額
小５,額,ガクブチに飾る,額縁
小５,刊,ユウカンを読む,夕刊
小５,刊,雑誌をカンコウする,刊行
小５,刊,ゲッカン誌,月刊
小５,幹,木のミキ,幹
小５,幹,シンカンセンに乗る,新幹線
小５,幹,カンブが集まる,幹部
小５,慣,シュウカンになる,習慣
小５,慣,仕事にナれる,慣
小５,慣,カンレイに従う,慣例
小５,眼,ガンカを受診する,眼科
小５,眼,ガンキョウをかける,眼鏡
小５,眼,チャクガン点,着眼
小５,基,キホンを学ぶ,基本
小５,基,秘密のキチ,基地
小５,基,事実に基づく,基
小５,寄,港にヨる,寄
小５,寄,キフをする,寄付
小５,寄,キコウする,寄港
小５,規,キソクを守る,規則
小５,規,大規模なキボ,規模
小５,規,キカク外の野菜,規格
小５,技,ギジュツが進歩する,技術
小５,技,見事なエンギ,演技
小５,技,トクギを披露する,特技
小５,義,セイギの味方,正義
小５,義,イギのある活動,意義
小５,義,ギムを果たす,義務
小５,逆,ギャクテン勝利,逆転
小５,逆,親にサカらう,逆
小５,逆,ギャクサンする,逆算
小５,久,ヒサしぶりに会う,久
小５,久,エイキュウ保存,永久
小５,久,タイキュウ性,耐久
小５,旧,キュウカの造り,旧家
小５,旧,シンキュウ交代,新旧
小５,旧,キュウユウとの再会,旧友
小５,居,部屋にイる,居
小５,居,ジュウキョを構える,住居
小５,居,イバショを見つける,居場所
小５,許,罪をユルす,許
小５,許,キョカをもらう,許可
小５,許,車のメンキョ,免許
小５,境,キョウカイ線を引く,境界
小５,境,国境のサカイ,境
小５,境,カンキョウ問題,環境
小５,均,テストのヘイキン,平均
小５,均,キンイツな価格,均一
小５,均,キントウに分ける,均等
小５,禁,立ち入りキンシ,禁止
小５,禁,火気ゲンキン,厳禁
小５,禁,キンクを言う,禁句
小５,句,ゴクの意味,語句
小５,句,クトウテンを打つ,句読点
小５,句,ハイクを詠む,俳句
小５,群,タイグンで押し寄せる,大群
小５,群,羊のムれ,群
小５,群,グンシュウ心理,群衆
小５,経,時間がケイカする,経過
小５,経,時をヘる,経
小５,経,ケイケンを積む,経験
小５,潔,セイケツな服,清潔
小５,潔,ケッパクを証明する,潔白
小５,潔,ケッペキな性格,潔癖
小５,件,ジケンを解決する,事件
小５,件,ジョウケンに合う,条件
小５,件,ヨウケンを伝える,用件
小５,券,ジョウシャケンを買う,乗車券
小５,券,ワリビキケンを使う,割引券
小５,券,ショッケンを買う,食券
小５,険,キケンな場所,危険
小５,険,生命ホケン,保険
小５,険,ケワしい山道,険
小５,検,身体ケンサ,検査
小５,検,仮説をケンショウする,検証
小５,検,ネットでケンサクする,検索
小５,限,人数をカギる,限
小５,限,体力のゲンカイ,限界
小５,限,時間をセイゲンする,制限
小５,現,ゲンダイの若者,現代
小５,現,正体をアラワす,現
小５,現,ゲンジツを受け入れる,現実
小５,減,人口がゲンショウする,減少
小５,減,体重がヘる,減
小５,減,火のカゲン,加減
小５,故,コジンをしのぶ,故人
小５,故,交通ジコ,事故
小５,故,コキョウに帰る,故郷
小５,個,コジン情報を守る,個人
小５,個,リンゴのコスウ,個数
小５,個,コセイを伸ばす,個性
小５,護,自然をホゴする,保護
小５,護,ゴエイをつける,護衛
小５,護,カンゴの仕事,看護
小５,効,薬のコウカ,効果
小５,効,キき目がある,効
小５,効,コウリョクを発揮する,効力
小５,厚,アツい本,厚
小５,厚,ブアツい雲,分厚
小５,厚,オンコウな人,温厚
小５,耕,畑をタガヤす,耕
小５,耕,コウサク地,耕作
小５,耕,ノウコウ民族,農耕
小５,鉱,コウザンで働く,鉱山
小５,鉱,コウセキを掘る,鉱石
小５,鉱,テッコウ石,鉄鉱
小５,構,チームのコウセイ,構成
小５,構,立派な門ガマえ,構
小５,構,建物のコウゾウ,構造
小５,興,キョウミを持つ,興味
小５,興,町のフッコウ,復興
小５,興,試合にコウフンする,興奮
小５,講,大学のコウギ,講義
小５,講,コウシュウ会,講習
小５,講,コウエンを聞く,講演
小５,混,道がコンザツする,混雑
小５,混,色がマざる,混
小５,混,コンランを招く,混乱
小５,査,アンケートをチョウサする,調査
小５,査,血液ケンサ,検査
小５,査,ササツが入る,査察
小５,再,試合をサイカイする,再開
小５,再,フタタび会う,再
小５,再,サイセイ紙,再生
小５,災,サイガイに備える,災害
小５,災,カサイ報知器,火災
小５,災,ワザワいを防ぐ,災
小５,妻,フサイで出席する,夫妻
小５,妻,ツマと出かける,妻
小５,妻,サイシを養う,妻子
小５,採,昆虫をサイシュウする,採集
小５,採,きのこをトる,採
小５,採,社員をサイヨウする,採用
小５,際,コクサイ交流,国際
小５,際,ジッサイの様子,実際
小５,際,コウサイ相手,交際
小５,在,ゲンザイの時刻,現在
小５,在,フザイ着信,不在
小５,在,ホテルにタイザイする,滞在
小５,財,ザイサンを分ける,財産
小５,財,文化ザイ,財
小５,財,ザイセイ状況,財政
小５,罪,シャザイの言葉,謝罪
小５,罪,ツミを償う,罪
小５,罪,ハンザイを防ぐ,犯罪
小５,雑,ザツオンが入る,雑音
小５,雑,ザツボキ林,雑木
小５,雑,ザッシを読む,雑誌
小５,酸,サンソボンベ,酸素
小５,酸,サンセイの土,酸性
小５,酸,タンサン水,炭酸
小５,賛,意見にサンセイする,賛成
小５,賛,ザンドウを求める,賛同
小５,賛,ショウサンを浴びる,賞賛
小５,支,シチュウを立てる,支柱
小５,支,体をササえる,支
小５,支,シハライを済ませる,支払
小５,志,強いイシ,意志
小５,志,医者をココロザす,志
小５,志,シガン理由,志願
小５,枝,エダハを切り落とす,枝葉
小５,枝,木のエダ,枝
小５,枝,コエダを拾う,小枝
小５,師,キョウシになる,教師
小５,師,ギシの資格,技師
小５,師,イシの診断,医師
小５,資,シリョウを集める,資料
小５,資,救援ブッシ,物資
小５,資,シホン金,資本
小５,飼,動物をシイクする,飼育
小５,飼,犬をカう,飼
小５,飼,シバを与える,飼葉
小５,示,方向をヒョウジする,表示
小５,示,例をシメす,示
小５,示,シジを出す,指示
小５,似,ニた者同士,似
小５,似,ルイジ品に注意,類似
小５,似,ニガオエを描く,似顔絵
小５,識,イシキを失う,意識
小５,識,チシキを増やす,知識
小５,識,ジョウシキを疑う,常識
小５,質,シツモンに答える,質問
小５,質,ブッシツの変化,物質
小５,質,ヒンシツが良い,品質
小５,舎,古いコウシャ,校舎
小５,舎,ギュウシャの掃除,牛舎
小５,舎,キシュクシャに入る,寄宿舎
小５,謝,カンシャの気持ち,感謝
小５,謝,シャイを表す,謝意
小５,謝,ミスをアヤマる,謝
小５,授,ジュギョウが始まる,授業
小５,授,大学のキョウジュ,教授
小５,授,賞をサズける,授
小５,修,自転車をシュウリする,修理
小５,修,学問をオサめる,修
小５,修,シュウセイ液,修正
小５,述,主語とジュツゴ,述語
小５,述,意見をノべる,述
小５,述,キジュツ式の問題,記述
小５,術,ギジュツの授業,技術
小５,術,シュジュツを受ける,手術
小５,術,ビジュツ館,美術館
小５,準,ジュンビ体操,準備
小５,準,生活スイジュン,水準
小５,準,キジュンを満たす,基準
小５,序,ジュンジョよく並ぶ,順序
小５,序,本のジョショウ,序章
小５,序,ジョブンを読む,序文
小５,招,パーティーにショウタイする,招待
小５,招,手でマネく,招
小５,招,ショウシュウがかかる,招集
小５,承,事情をショウチする,承知
小５,承,リョウショウを得る,了承
小５,承,ウケタマワる,承
小５,証,無実をショウメイする,証明
小５,証,品質をホショウする,保証
小５,証,ショウコを見つける,証拠
小５,条,ジョウケンを満たす,条件
小５,条,平和ジョウヤク,条約
小５,条,ジョウブンを読む,条文
小５,状,健康ジョウタイ,状態
小５,状,ショウジョウをもらう,賞状
小５,状,ゲンジョウを維持する,現状
小５,常,ニチジョウ生活,日常
小５,常,ツネに努力する,常
小５,常,ヒジョウ事態,非常
小５,情,カンジョウを表に出す,感情
小５,情,ナサけない結果,情
小５,情,ジョウホウを集める,情報
小５,織,シキモノを広げる,織物
小５,織,ソシキを作る,組織
小５,織,布をオる,織
小５,職,ショクギョウ体験,職業
小５,職,学校のショクイン,職員
小５,職,シュウショク活動,就職
小５,制,学校のセイフク,制服
小５,制,新しいセイド,制度
小５,制,スピードをセイゲンする,制限
小５,性,セイカクが明るい,性格
小５,性,セイベツを問わない,性別
小５,性,ダンセイ用の服,男性
小５,政,セイジのニュース,政治
小５,政,セイフの発表,政府
小５,政,ギセイを払う,犠牲
小５,勢,タイセイの人が集まる,大勢
小５,勢,水のイキオい,勢
小５,勢,シセイを正す,姿勢
小５,精,セイシンを集中する,精神
小５,精,セイドが高い,精度
小５,精,セイミツな機械,精密
小５,製,セイヒンを開発する,製品
小５,製,ニホンセイの時計,日本製
小５,製,車をセイゾウする,製造
小５,税,ゼイキンを納める,税金
小５,税,カンゼイがかかる,関税
小５,税,ゾウゼイに反対する,増税
小５,責,セキニンをとる,責任
小５,責,失敗をセめる,責
小５,責,セキムを果たす,責務
小５,績,セイセキが上がる,成績
小５,績,コウセキをたたえる,功績
小５,績,ジッセキを残す,実績
小５,接,台風がセッキンする,接近
小５,接,ネットにセツゾクする,接続
小５,接,チョクセツ話す,直接
小５,設,セツビを整える,設備
小５,設,ルールをモウける,設
小５,設,ビルをケンセツする,建設
小５,舌,シタを出す,舌
小５,舌,ドクゼツを吐く,毒舌
小５,舌,ベンゼツが立つ,弁舌
小５,絶,ゼッタイに勝つ,絶対
小５,絶,連絡がタえる,絶
小５,絶,ダンゼツする,断絶
小５,銭,キンセンの貸し借り,金銭
小５,銭,サイセン箱,賽銭
小５,銭,コゼニを出す,小銭
小５,祖,センゾを敬う,先祖
小５,祖,ソフボに会う,祖父母
小５,祖,ソコクに帰る,祖国
小５,素,スイソガス,水素
小５,素,ソザイの味,素材
小５,素,スナオな性格,素直
小５,総,ソウゴウ的な学習,総合
小５,総,ソウゼイ百名,総勢
小５,総,ソウリ大臣,総理
小５,造,モクゾウの家,木造
小５,造,船をツクる,造
小５,造,ゾウカを飾る,造花
小５,像,仏ゾウ,像
小５,像,ドウゾウを建てる,銅像
小５,像,未来をソウゾウする,想像
小５,増,体重がゾウカする,増加
小５,増,スピードをマす,増
小５,増,水がフえる,増
小５,則,キソクを守る,規則
小５,則,コウソク違反,校則
小５,則,ハンソク負け,反則
小５,測,星をカンソクする,観測
小５,測,長さをハカる,測
小５,測,体重をソクテイする,測定
小５,属,フゾクの小学校,付属
小５,属,キンゾクの棒,金属
小５,属,クラブにショゾクする,所属
小５,率,カクリツを求める,確率
小５,率,チームをヒキいる,率
小５,率,ノウリツが上がる,能率
小５,損,ソンガイ賠償,損害
小５,損,機嫌をソコねる,損
小５,損,ソンシツが大きい,損失
小５,退,タイガクする,退学
小５,退,一歩シリゾく,退
小５,退,ゴウタイする,後退
小５,貸,タイシャク対照表,貸借
小５,貸,本をカす,貸
小５,貸,カしダし中,貸出
小５,態,タイドを改める,態度
小５,態,ジョウタイを確認する,状態
小５,態,緊急ジタイ,事態
小５,団,センシュダンが入場する,選手団
小５,団,ダンチに住む,団地
小５,団,シュウダン行動,集団
小５,断,ケーブルをセツダンする,切断
小５,断,誘いをコトワる,断
小５,断,ケツダンを下す,決断
小５,築,ケンチク家,建築
小５,築,城をキズく,築
小５,築,シンチクの家,新築
小５,張,海外にシュッチョウする,出張
小５,張,ロープをヒッパる,張
小５,張,キンチョウする,緊張
小５,提,計画をテイアンする,提案
小５,提,ゼンテイ条件,前提
小５,提,宿題をテイシュツする,提出
小５,程,テイド問題,程度
小５,程,コウテイ表を作る,工程
小５,程,ニッテイを組む,日程
小５,適,テキトウな長さに切る,適当
小５,適,テキドな運動,適度
小５,適,カイテキな環境,快適
小５,敵,ムテキの強さ,無敵
小５,敵,テキに塩を送る,敵
小５,敵,強豪にヒッテキする,匹敵
小５,統,ルールをトウイツする,統一
小５,統,デントウ工芸品,伝統
小５,統,トウケイをとる,統計
小５,銅,ドウメダルをとる,銅
小５,銅,ドウゾウを見る,銅像
小５,銅,セイドウの剣,青銅
小５,導,シドウに従う,指導
小５,導,成功にミチビく,導
小５,導,ドウニュウ部分,導入
小５,徳,ドウトクの授業,道徳
小５,徳,トクシマ県,徳島
小５,徳,ビトクとする,美徳
小５,独,ドクリツ記念日,独立
小５,独,ヒトリ言を言う,独
小５,独,ドクトクな味,独特
小５,任,ニンムを完了する,任務
小５,任,仕事をマカせる,任
小５,任,クラスのタンニン,担任
小５,燃,ネンリョウを補給する,燃料
小５,燃,ごみをモやす,燃
小５,燃,火がモえる,燃
小５,能,カノウ性が高い,可能
小５,能,ノウリョクを発揮する,能力
小５,能,サイノウがある,才能
小５,破,車がタイハする,大破
小５,破,紙をヤブる,破
小５,破,ハカイする,破壊
小５,犯,ハンザイをなくす,犯罪
小５,犯,ハンニンを捕まえる,犯人
小５,犯,ハンコウの動機,犯行
