英単語,発音,品詞,日本語訳,細かい発音,単元
box,[ボックス],名,箱,[bo（ボ）][x（クス）]  ※ [b(ブ)]  [o(オ)],DAY22
lunch,[ランチ],名,昼食,[lu（ラ）][n（ン）][ch（チ）]  ※ [l(ル)]  [u(ア)],DAY22
shop,[ショップ],名,店,[sho（ショ）][p（プ）]  ※ [sh(シ)]  [o(オ)],DAY22
swimming,[スウィミング],名,水泳,[s（ス）][wi（ウィ）][mm（ム）][i（イ）][n（ン）][g（グ）],DAY22
fishing,[フィッシング],名,魚つり,[fi（フィ）][sh（シ）][ing（イング）]  ※ [f(フ)]  [i(イ)],DAY22
shopping,[ショッピング],名,買い物,[sho（ショ）][pp（プ）][ing（イング）],DAY22
chicken,[チキン],名,とり肉/ニワトリ,[chi（チ）][ck（ク）][en（イン）]  ※ [ch(チ)]  [i(イ)],DAY22
sandwich,[サンドゥウィッチ],名,サンドイッチ,[sa（サ）][n（ン）][d（ドゥ）][wi（ウィ）][ch（チ）],DAY22
dish,[ディッシュ],名,皿/料理,[di（ディ）][sh（シ）]  ※ [d(ドゥ)]  [i(イ)],DAY22
racket,[ラケットゥ],名,ラケット,[ra（ラ）][ck（ク）][et（エットゥ）]  ※ [r(ル)]  [a(ア)],DAY22
match,[マッチ],名,試合/マッチ,[ma（マ）][tch（チ）]  ※ [m(ム)]  [a(ア)],DAY23
child,[チャイルドゥ],名,子ども,[chi（チャイ）][l（ル）][d（ドゥ）]  ※ [ch(チ)]  [i(アイ)],DAY23
children,[チルドゥレン],名,子どもたち,[chi（チ）][l（ル）][d（ドゥ）][re（レ）][n（ン）]  ※ [ch(チ)]  [i(イ)],DAY23
neck,[ネック],名,首,[ne（ネ）][ck（ク）]  ※ [n(ヌ)]  [e(エ)],DAY23
tooth,[トゥース],名,歯,[t（トゥ）][oo（ウー）][th（ス）],DAY23
thing,[スィング],名,もの/こと,[th（ス）][ing（イング）],DAY23
bridge,[ブリッジ],名,橋,[b（ブ）][ri（リ）][dge（ジ）],DAY23
song,[ソング],名,歌/曲,[so（ソ）][n（ン）][g（グ）]  ※ [s(ス)]  [o(オ)],DAY23
friendship,[フレンドゥシップ],名,友情/友好関係,[f（フ）][rien（レン）][d（ドゥ）][shi（シ）][p（プ）],DAY23
chance,[チャンス],名,機会/可能性※最後のeは発音しない,[cha（チャ）][n（ン）][ce（ス）]  ※ [ch(チ)]  [a(ア)],DAY23
ticket,[ティケットゥ],名,切符/チケット,[ti（ティ）][cke（ケ）][t（トゥ）]  ※ [ck(ク)]  [e(エ)],DAY24
phone,[フォーン],名,電話※pとhが続くとfの音になる,[pho（フォー）][ne（ン）]  ※ [ph(フ)]  [o(オー)],DAY24
ring,[リング],名,指輪,[ri（リ）][n（ン）][g（グ）]  ※ [r(ル)]  [i(イ)],DAY24
ring,[リング],動,（ベルなどが）鳴る,[ri（リ）][n（ン）][g（グ）]  ※ [r(ル)]  [i(イ)],DAY24
photo,[フォウトウ],名,写真,[pho（フォウ）][to（トウ）]  ※ [ph(フ)]  [o(オウ)],DAY24
bench,[ベンチ],名,ベンチ,[be（ベ）][n（ン）][ch（チ）]  ※ [b(ブ)]  [e(エ)],DAY24
kitchen,[キッチン],名,台所,[ki（キ）][tch（チ）][e（イ）][n（ン）],DAY24
church,[チャーチ],名,教会,[ch（チ）][ur（アー）][ch（チ）],DAY24
shoe,[シュー],名,靴(くつ)※eは発音しない,[sh（シ）][oe（ウー）]  ※ [o(ウー)],DAY24
make,[メイク],動,作る/～にする※eは発音しない,[ma（メイ）][ke（ク）] ,DAY24
take,[テイク],動,取る/連れて行く/持って行く/（時間が）かかる,[ta（テイ）][ke（ク）]  ※ [t(トゥ)]  [a(エイ)]  ※ eは発音しない,DAY24
cake,[ケイク],名,ケーキ※最後のeは発音しない,[ca（ケイ）][ke（ク）]  ※ [c(ク)]  [a(エイ)],DAY25
lake,[レイク],名,湖※最後のeは発音しない,[la（レイ）][ke（ク）]  ※ [l(ル)]  [a(エイ)],DAY25
rice,[ライス],名,ごはん/米※最後のeは発音しない,[ri（ライ）][ce（ス）]  ※ [r(ル)]  [i(アイ)],DAY25
ice,[アイス],名,氷※最後のeは発音しない,[i（アイ）][ce（ス）] ,DAY25
nice,[ナイス],形,すてきな※最後のeは発音しない,[ni（ナイ）][ce（ス）]  ※ [n(ヌ)]  [i(アイ)],DAY25
face,[フェイス],名,顔※最後のeは発音しない,[fa（フェイ）][ce（ス）]  ※ [f(フ)]  [a(エイ)],DAY25
place,[プレイス],名,場所※最後のeは発音しない,[p（プ）][la（レイ）][ce（ス）]  ※ [l(ル)]  [a(エイ)],DAY25
like,[ライク],動,好む/好き,[li（ライ）][ke（ク）]  ※ [l(ル)]  [i(アイ)]  ※ 最後のeは発音しない,DAY25
like,[ライク],前,～のような[に],[li（ライ）][ke（ク）]  ※ [l(ル)]  [i(アイ)]  ※ 最後のeは発音しない,DAY25
use,[ユーズ],動,使う,[u（ユー）][se（ズ）],DAY25
use,[ユーズ],名,使用※最後のeは発音しない,[u（ユー）][se（ズ）],DAY25
ride,[ライドゥ],動,乗る※最後のeは発音しない,[ri（ライ）][de（ドゥ）],DAY25
write,[ライトゥ],動,書く※wとeは発音しない,[wri（ライ）][te（トゥ）]  ※ [r(ル)]  [i(アイ)],DAY26
drive,[ドライヴ],動,運転する※最後のeは発音しない,[d（ドゥ）][ri（ライ）][ve（ヴ）],DAY26
dive,[ダイヴ],動,潜(もぐ)る/飛び込む※最後のeは発音しない,[di（ダイ）][ve（ヴ）]  ※ [d(ドゥ)]  [i(アイ)],DAY26
decide,[ディサイドゥ],動,決める/決心する※最後のeは発音しない,[de（ディ）][ci（サイ）][de（ドゥ）]  ※ [c(ス)]  [i(アイ)],DAY26
invite,[インヴァイトゥ],動,招待する※最後のeは発音しない,[in（イン）][vi（ヴァイ）][te（トゥ）]  ※ [v(ヴ)]  [i(アイ)],DAY26
smile,[スマイル],動,ほほえむ,[s（ス）][mi（マイ）][le（ル）]  ※ [m(ム)]  [i(アイ)],DAY26
smile,[スマイル],名,ほほえみ※最後のeは発音しない,[s（ス）][mi（マイ）][le（ル）]  ※ [m(ム)]  [i(アイ)],DAY26
hope,[ホウプ],動,望む,[ho（ホウ）][pe（プ）]  ※ [h(フ)]  [o(オウ)],DAY26
hope,[ホウプ],名,望み※最後のeは発音しない,[ho（ホウ）][pe（プ）]  ※ [h(フ)]  [o(オウ)],DAY26
save,[セイヴ],動,救う/節約する/貯める※最後のeは発音しない,[sa（セイ）][ve（ヴ）]  ※ [s(ス)]  [a(エイ)] ,DAY26
wave,[ウェイヴ],名,波,[wa（ウェイ）][ve（ヴ）]  ※ [w(ウ)]  [a(エイ)],DAY26
wave,[ウェイヴ],動,手を振る※最後のeは発音しない,[wa（ウェイ）][ve（ヴ）]  ※ [w(ウ)]  [a(エイ)],DAY26
close,[クロウズ]     ※ 形は[クロウス]と発音,動,閉める,[c（ク）][lo（ロウ）][se（ズ）]  ※ [l(ル)]  [o(オウ)],DAY26
close,[クロウズ]     ※ 形は[クロウス]と発音,形,近い※最後のeは発音しない,[c（ク）][lo（ロウ）][se（ズ）]  ※ [l(ル)]  [o(オウ)],DAY26
wake,[ウェイク],動,目を覚ます/起こす※最後のeは発音しない,[wa（ウェイ）][ke（ク）]  ※ [w(ウ)]  [a(エイ)],DAY27
hike,[ハイク],動,ハイキングをする※最後のeは発音しない,[hi（ハイ）][ke（ク）]  ※ [h(フ)]  [i(アイ)],DAY27
cute,[キュートゥ],形,かわいい※最後のeは発音しない,[cu（キュー）][te（トゥ）]  ※ [c(ク)]  [u(ユー)],DAY27
fine,[ファイン],形,元気な/晴れた/すばらしい※最後のeは発音しない,[fi（ファイ）][ne（ン）]  ※ [f(フ)]  [i(アイ)],DAY27
white,[ワイトゥ],名,白,[whi（ワイ）][te（トゥ）]  ※ [w(ウ)]  [i(アイ)],DAY27
white,[ワイトゥ],形,白い※hとeは発音しない,[whi（ワイ）][te（トゥ）]  ※ [w(ウ)]  [i(アイ)],DAY27
brave,[ブレイヴ],形,勇敢な※最後のeは発音しない,[b（ブ）][ra（レイ）][ve（ヴ）]  ※ [r(ル)]  [a(エイ)],DAY27
useful,[ユースフル],形,役に立つ※eは発音しない,[u（ユー）][se（ス）][fu（フ）][l（ル）]  ※ [f(フ)]  [u(ウ)],DAY27
strange,[ストゥレインジ],形,奇妙な,[s（ス）][t（トゥ）][ra（レイ）][n（ン）][ge（ジ）],DAY27
wide,[ワイドゥ],形,（幅の）広い※最後のeは発音しない,[wi（ワイ）][de（ドゥ）],DAY27
safe,[セイフ],形,安全な※最後のeは発音しない,[sa（セイ）][fe（フ）]  ※ [s(ス)]  [a(エイ)],DAY27
polite,[ポライトゥ],形,丁寧な/礼儀正しい※最後のeは発音しない,[po（ポ）][li（ライ）][te（トゥ）]  ※ [l(ル)]  [i(アイ)],DAY28
five,[ファイヴ],名,５※最後のeは発音しない,[fi（ファイ）][ve（ヴ）]  ※ [f(フ)]  [i(アイ)],DAY28
nine,[ナイン],名,９※最後のeは発音しない,[ni（ナイ）][ne（ン）]  ※ [n(ヌ)]  [i(アイ)],DAY28
nineteen,[ナインティーン],名,１９※最初のeは発音しない,[ni（ナイ）][ne（ン）][tee（ティー）][n（ン）]  ※ [t(トゥ)]  [ee(イー)],DAY28
ninety,[ナインティー],名,90※eは発音しない,[ni（ナイ）][ne（ン）][ty（ティ）]  ※ [t(トゥ)]  [y(イー)],DAY28
ninth,[ナインス],名,9番目/9日,[ni（ナイ）][n（ン）][th（ス）],DAY28
nineteenth,[ナインティーンス],名,１９番目/19日※最初のeは発音しない,[ni（ナイ）][ne（ン）][tee（ティー）][n（ン）][th（ス）],DAY28
twice,[トゥワイス],副,２度/2回※最後のeは発音しない,[t（トゥ）][wi（ワイ）][ce（ス）]  ※ [w(ウ)]  [i(アイ)],DAY28
date,[デイトゥ],名,日付※最後のeは発音しない,[da（デイ）][te（トゥ）]  ※ [d(ドゥ)]  [a(エイ)],DAY28
time,[タイム],名,時間/時刻/～回※最後のeは発音しない,[ti（タイ）][me（ム）]  ※ [t(トゥ)]  [i(アイ)],DAY28
evening,[イーヴニング],名,夕方/夜※2つ目のeは発音しない,[e（イー）][ve（ヴ）][ni（ニ）][n（ン）][g（グ）] ,DAY29
later,[レイター],副,後で,[la（レイ）][ter（ター）]  ※ [l(ル)]  [a(エイ)]  [t(トゥ)]  [er(アー)],DAY29
late,[レイトゥ],形,遅れた,[la（レイ）][te（トゥ）],DAY29
late,[レイトゥ],副,遅く※最後のeは発音しない,[la（レイ）][te（トゥ）],DAY29
since,[スィンス],前,～から（ずっと）,[si（スィ）][n（ン）][ce（ス）]          ※ 最後のeは発音しない,DAY29
since,[スィンス],接,～以来,[si（スィ）][n（ン）][ce（ス）]          ※ 最後のeは発音しない,DAY29
sometime,[サムタイム],副,いつか※2つのeは発音しない,[so（サ）][me（ム）][ti（タイ）][me（ム）]  ※ [t(トゥ)]  [i(アイ)],DAY29
life,[ライフ],名,人生/生活/生命※最後のeは発音しない,[li（ライ）][fe（フ）]  ※ [l(ル)]  [i(アイ)],DAY29
June,[ジューン],名,6月※最後のeは発音しない,[Ju（ジュー）][ne（ン）]  ※ [j(ジュ)]  [u(ユー)],DAY29
ice cream,[アイスクリーム],名,アイスクリーム※最初のeは発音しない,[i（アイ）][ce（ス）]  [c（ク）][rea（リー）][m（ム）],DAY29
nose,[ノウズ],名,鼻※最後のeは発音しない,[no（ノウ）][se（ズ）]  ※ [n(ヌ)]  [o(オウ)],DAY29
stomachache,[ストマッケイク],名,腹痛※最後のeは発音しない,[s（ス）][to（ト）][ma（マ）][ch（ク）][a（エイ）][che（ク）],DAY29
headache,[ヘデイク],名,頭痛※最後のh/eは発音しない,[hea（ヘ）][d（ドゥ）][a（エイ）][che（ク）]  ※ [ea(エ)],DAY30
home,[ホウム],名,家/家庭,[ho（ホウ）][me（ム）]  ※ [h(フ)]  [o(オウ)],DAY30
home,[ホウム],副,家に※最後のeは発音しない,[ho（ホウ）][me（ム）]  ※ [h(フ)]  [o(オウ)],DAY30
same,[セイム],形,同じ※最後のeは発音しない,[sa（セイ）][me（ム）]  ※ [s(ス)]  [a(エイ)],DAY30
name,[ネイム],名,,[na（ネイ）][me（ム）]  ※ [n(ヌ)]  [a(エイ)],DAY30
name,[ネイム],名,,[na（ネイ）][me（ム）]  ※ [n(ヌ)]  [a(エイ)],DAY30
name,[ネイム],前,,[na（ネイ）][me（ム）]  ※ [n(ヌ)]  [a(エイ)],DAY30
name,[ネイム],動,,[na（ネイ）][me（ム）]  ※ [n(ヌ)]  [a(エイ)],DAY30
name,[ネイム],名,付ける※最後のeは発音しない,[na（ネイ）][me（ム）]  ※ [n(ヌ)]  [a(エイ)],DAY30
table,[テイブル],名,テーブル※最後のeは発音しない,[ta（テイ）][b（ブ）][le（ル）] ,DAY30
plane,[プレイン],名,飛行機※最後のeは発音しない,[p（プ）][la（レイ）][ne（ン）]  ※ [l(ル)]  [a(エイ)],DAY30
bike,[バイク],名,自転車※最後のeは発音しない,[bi（バイ）][ke（ク）]  ※ [b(ブ)]  [i(アイ)],DAY30
shrine,[シュライン],名,神社※最後のeは発音しない,[sh（シ）][ri（ライ）][ne（ン）]  ※ [r(ル)]  [i(アイ)],DAY30
baseball,[ベイスボール],名,野球※eは発音しない,[ba（ベイ）][se（ス）][bal（ボー）][l（ル）]  ※ [al(オー)]  [l(ル)],DAY30
game,[ゲイム],名,試合/ゲーム※最後のeは発音しない,[ga（ゲイ）][me（ム）]  ※ [g(グ)]  [a(エイ)],DAY30
eraser,[イレイサー],名,消しゴム,[e（イ）][ra（レイ）][ser（サー）]  ※ [s(ス)]  [er(アー)],DAY31
meter,[ミーター],名,メートル,[me（ミー）][ter（ター）]  ※ [t(トゥ)]  [er(アー)],DAY31
page,[ペイジ],名,ページ,[pa（ペイ）][ge（ジ）]  ※ [p(プ)]  [a(エイ)],DAY31
tape,[テイプ],名,テープ※最後のeは発音しない,[ta（テイ）][pe（プ）]  ※ [t(トゥ)]  [a(エイ)],DAY31
rule,[ルール],名,規則/ルール,[ru（ルー）][le（ル）]                ※ 最後のeは発音しない,DAY31
rule,[ルール],動,支配する,[ru（ルー）][le（ル）]                ※ 最後のeは発音しない,DAY31
stone,[ストーン],名,石※最後のeは発音しない,[s（ス）][to（トー）][ne（ン）]  ※ [t(トゥ)]  [o(オー)],DAY31
price,[プライス],名,値段※最後のeは発音しない,[p（プ）][ri（ライ）][ce（ス）]  ※ [r(ル)]  [i(アイ)]  [c(ス)],DAY31
plate,[プレイトゥ],名,皿※最後のeは発音しない,[p（プ）][la（レイ）][te（トゥ）]  ※ [l(ル)]  [a(エイ)],DAY31
size,[サイズ],名,大きさ/サイズ※最後のeは発音しない,[si（サイ）][ze（ズ）]  ※ [s(ス)]  [i(アイ)],DAY31
title,[タイトゥル],名,題,[ti（タイ）][t（トゥ）][le（ル）]  ※ [t(トゥ)]  [i(アイ)],DAY31
title,[タイトゥル],名,/タイトル※最後のeは発音しない,[ti（タイ）][t（トゥ）][le（ル）]  ※ [t(トゥ)]  [i(アイ)],DAY31
side,[サイドゥ],名,側/側面※最後のeは発音しない,[si（サイ）][de（ドゥ）]  ※ [s(ス)]  [i(アイ)],DAY32
line,[ライン],名,列※最後のeは発音しない,[li（ライ）][ne（ン）]  ※ [l(ル)]  [i(アイ)],DAY32
paper,[ペイパー],名,紙/新聞/レポート,[pa（ペイ）][per（パー）]  ※ [p(プ)]  [a(エイ)]  [er(アー)],DAY32
mistake,[ミステイク],名,間違い/誤り※最後のeは発音しない,[mi（ミ）][s（ス）][ta（テイ）][ke（ク）]  ※ [t(トゥ)]  [a(エイ)],DAY32
advice,[アドゥヴァイス],名,,[a（ア）][d（ドゥ）][vi（ヴァイ）][ce（ス）]  ※ [v(ヴ)]  [i(アイ)],DAY32
advice,[アドゥヴァイス],助,言/アドバイス※最後のeは発音しない,[a（ア）][d（ドゥ）][vi（ヴァイ）][ce（ス）]  ※ [v(ヴ)]  [i(アイ)],DAY32
taste,[テイストゥ],名,味,[ta（テイ）][s（ス）][te（トゥ）]        ※ 最後のeは発音しない,DAY32
taste,[テイストゥ],動,～の味がする/味わう,[ta（テイ）][s（ス）][te（トゥ）]        ※ 最後のeは発音しない,DAY32
stage,[ステイジ],名,舞台/ステージ/段階,[s（ス）][ta（テイ）][ge（ジ）]         ※ 最後のeは発音しない,DAY32
mine,[マイン],代,私のもの※最後のeは発音しない,[mi（マイ）][ne（ン）]  ※ [m(ム)]  [i(アイ)],DAY32
shape,[シェイプ],名,,[sha（シェイ）][pe（プ）]  ※ [sh(シ)]  [a(エイ)],DAY32
shape,[シェイプ],形,※最後のeは発音しない,[sha（シェイ）][pe（プ）]  ※ [sh(シ)]  [a(エイ)],DAY32
inside,[インサイドゥ],副,内側で/内側に,[in（イン）][si（サイ）][de（ドゥ）]      ※ 最後のeは発音しない,DAY32
inside,[インサイドゥ],前,～の中に,[in（イン）][si（サイ）][de（ドゥ）]      ※ 最後のeは発音しない,DAY32
driver,[ドゥライヴァー],名,運転手,[d（ドゥ）][ri（ライ）][ver（ヴァー）]  ※ [v(ヴ)]  [er(アー)],DAY33
e-mail,[イーメイル],名,電子メール,[e（イー）][mai（メイ）][l（ル）]  ※ [m(ム)]  [ai(エイ)],DAY33
play,[プレイ],動,遊ぶ/（スポーツを）する/演奏する,[p（プ）][lay（レイ）]  ※ [l(ル)]  [ay(エイ)],DAY33
read,[リードゥ],動,読む,[rea（リー）][d（ドゥ）]  ※ [r(ル)]  [ea(イー)],DAY33
see,[スィー],動,見る/見える/会う,[s（ス）][ee（イー）],DAY33
speak,[スピーク],動,話す,[s（ス）][pea（ピー）][k（ク）]  ※ [p(プ)]  [ea(イー)],DAY33
enjoy,[エンジョイ],動,楽しむ,[en（エン）][joy（ジョイ）]  ※ [j(ジュ)]  [oy(オイ)],DAY33
know,[ノウ],動,知っている※kは発音しない,[kn（ヌ）][ow（オウ）],DAY33
join,[ジョイン],動,加わる/参加する,[jo（ジョ）][i（イ）][n（ン）]  ※ [j(ジュ)]  [o(オ)],DAY33
teach,[ティーチ],動,教える,[tea（ティー）][ch（チ）]  ※ [t(トゥ)]  [ea(イー)],DAY33
meet,[ミートゥ],動,会う,[mee（ミー）][t（トゥ）]  ※ [m(ム)]  [ee(イー)],DAY34
wait,[ウェイトゥ],動,待つ,[wai（ウェイ）][t（トゥ）]  ※ [w(ウ)]  [ai(エイ)],DAY34
draw,[ドゥロー],動,（絵などを）描く,[d（ドゥ）][raw（ロー）]  ※ [r(ル)]  [aw(オー)],DAY34
wear,[ウェア],動,着ている/身につけている,[we（ウェ）][ar（アー）]  ※ [w(ウ)]  [e(エ)],DAY34
throw,[スロウ],動,投げる,[th（ス）][row（ロウ）]  ※ [r(ル)]  [ow(オウ)],DAY34
leave,[リーヴ],動,去る/出発する/置き忘れる/残す,[lea（リー）][ve（ヴ）]  ※ [l(ル)]  [ea(イー)]  ※ 最後のeは発音しない,DAY34
clean,[クリーン],動,掃除する,[c（ク）][lea（リー）][n（ン）]  ※ [l(ル)]  [ea(イー)],DAY34
clean,[クリーン],形,きれいな,[c（ク）][lea（リー）][n（ン）]  ※ [l(ル)]  [ea(イー)],DAY34
dream,[ドゥリーム],名,夢,[d（ドゥ）][rea（リー）][m（ム）]  ※ [r(ル)]  [ea(イー)],DAY34
dream,[ドゥリーム],動,夢を見る,[d（ドゥ）][rea（リー）][m（ム）]  ※ [r(ル)]  [ea(イー)],DAY34
rain,[レイン],動,雨が降る,[rai（レイ）][n（ン）]  ※ [r(ル)]  [ai(エイ)],DAY34
rain,[レイン],名,雨,[rai（レイ）][n（ン）]  ※ [r(ル)]  [ai(エイ)],DAY34
snow,[スノウ],動,雪が降る,[s（ヌ）][now（ノウ）]  ※ [n(ヌ)]  [ow(オウ)],DAY34
snow,[スノウ],名,雪,[s（ヌ）][now（ノウ）]  ※ [n(ヌ)]  [ow(オウ)],DAY34
say,[セイ],動,言う,[s（ス）][ay（エイ）],DAY35
hold,[ホウルドゥ],動,持つ/つかむ/開催する,[ho（ホウ）][l（ル）][d（ドゥ）]  ※ [h(フ)]  [o(オウ)],DAY35
feel,[フィール],動,感じる,[fee（フィー）][l（ル）]  ※ [f(フ)]  [ee(イー)],DAY35
break,[ブレイク],動,壊す/折る,[b（ブ）][rea（レイ）][k（ク）]  ※ [r(ル)]  [ea(エイ)],DAY35
break,[ブレイク],名,休憩,[b（ブ）][rea（レイ）][k（ク）]  ※ [r(ル)]  [ea(エイ)],DAY35
show,[ショウ],動,見せる/示す,[sh（シ）][ow（オウ）],DAY35
stay,[ステイ],動,滞在する/いる/泊まる,[s（ス）][tay（テイ）]  ※ [t(トゥ)]  [ay(エイ)],DAY35
spread,[スプレッドゥ],動,広がる/広げる,[s（ス）][p（プ）][rea（レ）][d（ドゥ）]  ※ [r(ル)]  [ea(エ)],DAY35
spread,[スプレッドゥ],名,広がり,[s（ス）][p（プ）][rea（レ）][d（ドゥ）]  ※ [r(ル)]  [ea(エ)],DAY35
keep,[キープ],動,保つ/～し続ける/（,[kee（キー）][p（プ）]  ※ [k(ク)]  [ee(イー)],DAY35
keep,[キープ],動,物を）飼う,[kee（キー）][p（プ）]  ※ [k(ク)]  [ee(イー)],DAY35
grow,[グロウ],動,成長する/育つ/育てる,[g（グ）][row（ロウ）]  ※ [r(ル)]  [ow(オウ)],DAY35
increase,[インクリース],動,増える/増やす※最後のeは発音しない,[in（イン）][c（ク）][rea（リー）][se（ス）]  ※ [r(ル)]  [ea(イー)],DAY35
need,[ニードゥ],動,必要とする,[nee（ニー）][d（ドゥ）]  ※ [n(ヌ)]  [ee(イー)],DAY36
need,[ニードゥ],名,必要,[nee（ニー）][d（ドゥ）]  ※ [n(ヌ)]  [ee(イー)],DAY36
build,[ビルドゥ],動,建てる,[bui（ビ）][l（ル）][d（ドゥ）],DAY36
receive,[リスィーヴ],動,受け取る※最後のeは発音しない,[re（リ）][cei（スィー）][ve（ヴ）]  ※ [c(ス)]  [ei(イー)],DAY36
believe,[ビリーヴ],動,信じる/思う※最後のeは発音しない,[be（ビ）][lie（リー）][ve（ヴ）]  ※ [l(ル)]  [ie(イー)],DAY36
follow,[フォロウ],動,従う/～についていく,[fo（フォ）][llow（ロウ）]  ※ [l(ル)]  [ow(オウ)],DAY36
choose,[チューズ],動,選ぶ※最後のeは発音しない,[ch（チ）][oo（ウー）][se（ズ）],DAY36
paint,[ペイントゥ],動,絵を描く/（ペンキなどを）塗る,[pai（ペイ）][n（ン）][t（トゥ）]  ※ [p(プ)]  [ai(エイ)],DAY36
repeat,[リピートゥ],動,繰り返す/繰り返して言う,[re（リ）][pea（ピー）][t（トゥ）]  ※ [p(プ)]  [ea(イー)],DAY36
reach,[リーチ],動,着く/届く,[rea（リー）][ch（チ）]  ※ [r(ル)]  [ea(イー)],DAY36
pay,[ペイ],動,支払う,[p（プ）][ay（エイ）],DAY36
laugh,[ラフ],動,笑う,[lau（ラ）][gh（フ）],DAY37
laugh,[ラフ],名,笑い※gは発音しない,[lau（ラ）][gh（フ）],DAY37
mean,[ミーン],動,意味する,[mea（ミー）][n（ン）]  ※ [m(ム)]  [ea(イー)],DAY37
explain,[エクスプレイン],動,説明する,[ex（エクス）][p（プ）][lai（レイ）][n（ン）]  ※ [l(ル)]  [ai(エイ)],DAY37
agree,[アグリー],動,賛成する/同意する,[a（ア）][g（グ）][ree（リー）]  ※ [r(ル)]  [ee(イー)],DAY37
great,[グレイトゥ],形,すばらしい/偉大な,[g（グ）][rea（レイ）][t（トゥ）]  ※ [r(ル)]  [ea(エイ)],DAY37
high,[ハイ],形,高い※ghは発音しない,[high（ハイ）]  ※ [h(フ)]  [i(アイ)],DAY37
sweet,[スウィートゥ],形,甘い,[s（ス）][wee（ウィー）][t（トゥ）]  ※ [w(ウ)]  [ee(イー)],DAY37
slow,[スロウ],形,遅い,[s（ス）][low（ロウ）]  ※ [l(ル)]  [ow(オウ)],DAY37
sleepy,[スリーピー],形,眠い,[s（ス）][lee（リー）][py（ピー）]  ※ [p(プ)]  [y(イー)],DAY37
weak,[ウィーク],形,弱い,[wea（ウィー）][k（ク）]  ※ [w(ウ)]  [ea(イー)],DAY37
heavy,[ヘヴィー],形,重い/激しい,[hea（ヘ）][vy（ヴィー）]  ※ [h(フ)]  [ea(エ)],DAY38
afraid,[アフレイドゥ],形,こわい/心配して/残念に思って,[a（ア）][f（フ）][rai（レイ）][d（ドゥ）]  ※ [r(ル)]  [ai(エイ)],DAY38
proud,[プラウドゥ],形,誇りに思って,[p（プ）][rou（ラウ）][d（ドゥ）]  ※ [r(ル)]  [ou(アウ)],DAY38
TRUE,[トゥルー],形,本当の/真実の/本物の,[t（トゥ）][rue（ルー）]               ※ 最後のeは発音しない,DAY38
real,[リアル],形,本当の/現実の/本物の,[re（リ）][a（ア）][l（ル）],DAY38
free,[フリー],形,ひまな/自由な/無料の,[f（フ）][ree（リー）]  ※ [r(ル)]  [ee(イー)],DAY38
own,[オウン],形,自分自身の,[ow（オウ）][n（ン）],DAY38
own,[オウン],動,所有している,[ow（オウ）][n（ン）],DAY38
low,[ロウ],形,低い,[l（ル）][ow（オウ）],DAY38
cheap,[チープ],形,安い,[chea（チー）][p（プ）]  ※ [ch(チ)]  [ea(イー)],DAY38
deep,[ディープ],形,深い,[dee（ディー）][p（プ）]  ※ [d(ドゥ)]  [ee(イー)],DAY38
main,[メイン],形,主な/主要な,[mai（メイ）][n（ン）]  ※ [m(ム)]  [ai(エイ)],DAY39
crowded,[クラウディドゥ],形,混み合った,[c（ク）][row（ラウ）][d（ドゥ）][ed（イドゥ）]  ※ [ow(アウ)],DAY39
dead,[デッドゥ],形,死んでいる,[dea（デ）][d(ドゥ）]  ※ [d(ドゥ)]  [ea(エ)],DAY39
ready,[レディー],形,準備ができた/用意ができた,[rea（レ）][dy（ディー）]  ※ [r(ル)]  [ea(エ)]  [d（ドゥ）]  [y（イー）],DAY39
noisy,[ノイジー],形,騒がしい,[no（ノ）][i（イ）][sy（ジー）]  ※ [s(ズ)]  [y(イー)],DAY39
brown,[ブラウン],名,茶色,[b（ブ）][row（ラウ）][n（ン）]  ※ [r(ル)]  [ow(アウ)],DAY39
brown,[ブラウン],形,茶色い,[b（ブ）][row（ラウ）][n（ン）]  ※ [r(ル)]  [ow(アウ)],DAY39
green,[グリーン],名,緑色,[g（グ）][ree（リー）][n（ン）]  ※ [r(ル)]  [ee(イー)],DAY39
green,[グリーン],形,緑の,[g（グ）][ree（リー）][n（ン）]  ※ [r(ル)]  [ee(イー)],DAY39
yellow,[イエロウ],名,黄色,[y（イ）][e（エ）][llow（ロウ）]  ※ [l(ル)]  [ow(オウ)],DAY39
yellow,[イエロウ],形,黄色の,[y（イ）][e（エ）][llow（ロウ）]  ※ [l(ル)]  [ow(オウ)],DAY39
cloudy,[クラウディー],形,くもりの,[c（ク）][lou（ラウ）][dy（ディー）]  ※ [l(ル)]  [ou(アウ)],DAY39
rainy,[レイニー],形,雨の/雨降りの,[rai（レイ）][ny（ニー）]  ※ [r(ル)]  [ai(エイ)]  [n(ヌ)]  [y(イー)],DAY39
snowy,[スノウウィー],形,雪の/雪降りの,[s（ス）][no（ノウ）][wy（ウィー）]  ※ [w(ウ)]  [y(イー)],DAY40
light,[ライトゥ],名,光/明かり,[li（ライ）][ght（トゥ）],DAY40
light,[ライトゥ],形,明るい/軽い※ghは発音しない,[li（ライ）][ght（トゥ）],DAY40
eight,[エイトゥ],名,８※ghは発音しない,[e（エ）][i（イ）][ght（トゥ）],DAY40
eighth,[エイス],名,８番目/8日※ghは発音しない,[e（エ）][i（イ）][ghth(ス)],DAY40
