No,英語,日本語,単元
969,counterpart,相当する物[人],section10
970,stroke,脳卒中,section10
971,pedestrian,歩行者,section10
972,trail,(野山などの)小道,section10
973,ecology,生態学,section10
974,sibling,きょうだい(の1人),section10
975,ratio,比率,section10
976,mixture,混合(物),section10
977,charm,魅力,section10
978,ambition,願望/野望,section10
979,prominent,卓越した,section10
980,radical,急進的な,section10
981,prompt,即座の/迅速な,section10
982,informal,形式ばらない/略式の,section10
983,mutual,相互の,section10
984,neutral,中立の,section10
985,alert,警戒して,section10
986,magnetic,磁気の,section10
987,polar,極地の,section10
988,fluent,流ちょうな,section10
989,external,外部の,section10
990,passive,受動的な,section10
991,awful,ひどい,section10
992,unrelated,無関係の,section10
993,cruel,残酷な,section10
994,fake,偽の,section10
995,vulnerable,(攻撃などに)弱い/もろい,section10
996,urgent,緊急の,section10
997,spiritual,精神の,section10
998,modest,謙虚な,section10
999,keen,熱心な,section10
1000,nonetheless,それにもかかわらず/それでもなお,section10
1001,negotiate,交渉する,section11
1002,grasp,を把握[理解]する,section11
1003,donate,を寄付する,section11
1004,arrest,を逮捕する,section11
1005,crack,ひびが入る,section11
1006,tap,を軽くたたく,section11
1007,split,を分割する,section11
1008,forecast,を予想[予測]する,section11
1009,exclude,を除外する,section11
1010,overlook,を見落とす,section11
1011,burst,破裂する,section11
1012,heal,(人・傷など)を治す,section11
1013,forbid,を禁じる,section11
1014,install,をインストールする,section11
1015,diminish,を減らす,section11
1016,cite,を引き合いに出す,section11
1017,quote,を引用する,section11
1018,dispute,に異議を唱える,section11
1019,highlight,を目立たせる/強調する,section11
1020,distract,(注意など)をそらす,section11
1021,cheat,をだます,section11
1022,foster,をはぐくむ,section11
1023,obey,に従う,section11
1024,bend,を曲げる,section11
1025,deprive,から(権利などを)奪う,section11
1026,govern,(を)統治する/支配する,section11
1027,log,ログオンする,section11
1028,transmit,を伝える,section11
1029,bully,をいじめる,section11
1030,leap,跳ぶ,section11
1031,astonish,を驚かす,section11
1032,thrill,をぞくぞくさせる,section11
1033,nod,うなずく,section11
1034,bow,おじぎする,section11
1035,blend,を混ぜる,section11
1036,complicate,を複雑にする,section11
1037,pitch,を投げる,section11
1038,persist,続く,section11
1039,dedicate,をささげる,section11
1040,equip,に備えつける,section11
1041,premise,前提,section11
1042,input,入力(情報)/投入,section11
1043,merit,利点,section11
1044,sympathy,同情,section11
1045,compliment,賛辞,section11
1046,infrastructure,インフラ/基本的施設,section11
1047,ray,光線,section11
1048,distress,苦悩,section11
1049,joint,関節,section11
1050,expedition,遠征(隊)/探検(隊),section11
1051,adolescent,青年,section11
1052,shade,(日)陰,section11
1053,jury,陪審(員団),section11
1054,ethic,倫理/道徳,section11
1055,penalty,(刑)罰,section11
1056,faculty,能力/機能,section11
1057,scheme,計画,section11
1058,nutrition,栄養(の摂取),section11
1059,particle,(微)粒子,section11
1060,molecule,分子,section11
1061,nationality,国籍,section11
1062,poll,世論調査,section11
1063,clinic,診療所/クリニック,section11
1064,dementia,認知症,section11
1065,fatigue,疲労,section11
1066,dilemma,ジレンマ/板ばさみ,section11
1067,queue,(順番を待つ)列,section11
1068,curve,(道路などの)カーブ,section11
1069,narrative,物語/話,section11
1070,fingerprint,指紋,section11
1071,file,ファイル,section11
1072,wilderness,荒野,section11
1073,pesticide,殺虫剤,section11
1074,panic,パニック(状態),section11
1075,fabric,織物/布(地),section11
1076,fantasy,空想,section11
1077,fancy,(気まぐれな)好み,section11
1078,virtue,美徳,section11
1079,grateful,感謝している,section11
1080,valid,妥当な,section11
1081,elaborate,入念な,section11
1082,moderate,適度な,section11
1083,dynamic,活動的な/精力的な,section11
1084,brave,勇敢な,section11
1085,brilliant,すばらしい,section11
1086,tremendous,途方もない．莫大な,section11
1087,oral,口頭の,section11
1088,innocent,無罪の,section11
1089,subsequent,その後の,section11
1090,shallow,浅い,section11
1091,indifferent,無関心な,section11
1092,inferior,より劣った,section11
1093,awkward,気まずい,section11
1094,obese,肥満した,section11
1095,pregnant,妊娠した,section11
1096,intimate,親密な,section11
1097,medieval,中世の,section11
1098,sacred,神聖な,section11
1099,simultaneously,同時に,section11
1100,versus,(A)対(B),section11
1101,proceed,進む/進行する,section12
1102,orient,(人)を慣らす,section12
1103,surf,(インターネット上の情報など)を見て回る,section12
1104,filter,をろ過する/を取り除く,section12
1105,bind,を縛る,section12
1106,resort,訴える/頼る,section12
1107,reinforce,を強化する,section12
1108,accumulate,を蓄積する/集める,section12
1109,bet,と確信する/断言する,section12
1110,advocate,を主張する,section12
1111,constitute,を構成する,section12
1112,undertake,を引き受ける,section12
1113,grip,を握る,section12
1114,dismiss,(意見など)を退ける,section12
1115,fade,薄れる,section12
1116,conceal,を隠す,section12
1117,chew,(を)かむ,section12
1118,swallow,(を)飲み込む,section12
1119,seal,を密閉する,section12
1120,migrate,移住する,section12
1121,exaggerate,(を)誇張する,section12
1122,accuse,を非難する,section12
1123,vanish,消える,section12
1124,polish,を磨く,section12
1125,wipe,を拭く,section12
1126,sweep,(を)掃く,section12
1127,mislead,を誤解させる/欺く,section12
1128,spoil,を台無しにする,section12
1129,compound,を悪化させる,section12
1130,explode,爆発する,section12
1131,disgust,をむかつかせる,section12
1132,commute,通勤[通学]する,section12
1133,decorate,を装飾する,section12
1134,postpone,を延期する,section12
1135,cease,をやめる,section12
1136,compromise,妥協する,section12
1137,elect,を選出する,section12
1138,extract,を取り[搾り]出す,section12
1139,inherit,を受け継ぐ,section12
1140,rear,(人・動物・植物)を育てる,section12
1141,empathy,感情移入/共感,section12
1142,cue,合図,section12
1143,enterprise,企業/事業,section12
1144,output,生産(高),section12
1145,congress,議会,section12
1146,millennium,千年間/千年紀,section12
1147,mankind,人類,section12
1148,Muslim,イスラム教徒,section12
1149,estate,(動産・不動産などの)財産,section12
1150,landmine,地雷,section12
1151,caution,用心,section12
1152,controversy,論争,section12
1153,consensus,総意,section12
1154,retail,小売り,section12
1155,fiber,繊維(質),section12
1156,scent,(よい)香り,section12
1157,beverage,(水以外の)飲み物/飲料,section12
1158,supplement,栄養補助剤/サプリメント,section12
1159,diabetes,糖尿病,section12
1160,province,州/省,section12
1161,reef,(岩や砂の)礁,section12
1162,microbe,微生物,section12
1163,excess,過剰/超過,section12
1164,gallery,美術館/画廊,section12
1165,fame,名声,section12
1166,deadline,締め切り,section12
1167,undergraduate,学部学生,section12
1168,slavery,奴隷制度,section12
1169,prey,獲物,section12
1170,mess,散らかった状態[物],section12
1171,recession,不況,section12
1172,retreat,後退/退却,section12
1173,grave,墓,section12
1174,column,コラム,section12
1175,scenery,景色,section12
1176,plot,(小説などの)筋,section12
1177,sculpture,彫刻(作品),section12
1178,tablet,タブレット(型情報端末),section12
1179,dense,密集した/密度の高い,section12
1180,exotic,外来の,section12
1181,acid,酸性の,section12
1182,bitter,苦い/つらい,section12
1183,sensible,賢明な,section12
1184,noble,高貴な,section12
1185,vague,漠然とした/あいまいな,section12
1186,parallel,平行[並行]の,section12
1187,tense,張り詰めた/緊張した,section12
1188,vertical,垂直の,section12
1189,indigenous,原産の/先住の,section12
1190,aboriginal,アボリジニの,section12
1191,seasonal,季節の/季節的な,section12
1192,abundant,豊富な,section12
1193,hybrid,ハイブリッドの,section12
1194,irrelevant,無関係の,section12
1195,ridiculous,ばかげた,section12
1196,fairy,妖精の(ような),section12
1197,sensory,感覚の,section12
1198,chronic,慢性の,section12
1199,voluntary,自発的な,section12
1200,inclined,傾向がある,section12
1201,infer,を推論する/推測する,section13
1202,esteem,を尊敬する,section13
1203,tackle,に取り組む,section13
1204,venture,危険を冒して進む,section13
1205,accelerate,を加速させる/促進する,section13
1206,accustom,(人)を慣れさせる,section13
1207,amuse,をおもしろがらせる/楽しませる,section13
1208,flourish,繁栄する,section13
1209,thrive,繁栄する/うまくいく,section13
1210,nurture,をはぐくむ,section13
1211,click,(を)クリックする,section13
1212,spin,回転する,section13
1213,clip,を切り抜く,section13
1214,drag,を引きずる,section13
1215,cast,を投じる,section13
1216,scatter,をまき散らす,section13
1217,tempt,を気にさせる,section13
1218,withdraw,を引き出す,section13
1219,yawn,あくびをする,section13
1220,blink,まばたきする,section13
1221,dye,を染める,section13
1222,spill,をこぼす,section13
1223,irritate,をいらいらさせる,section13
1224,insult,を侮辱する,section13
1225,enforce,を施行[実施]する,section13
1226,rob,から(金品を)奪う,section13
1227,drain,(液体)を流出させる,section13
1228,suspend,を停職[停学/出場停止]にする,section13
1229,drift,漂う,section13
1230,forgive,を許す,section13
1231,revise,を修正する,section13
1232,recruit,を募る,section13
1233,twist,をねじる/ひねる,section13
1234,crush,を押しつぶす,section13
1235,pin,をピンで留める,section13
1236,uncover,を暴く,section13
1237,exploit,を活用する,section13
1238,implement,を実行[実施]する,section13
1239,integrate,を統合する,section13
1240,incorporate,を取り入れる,section13
1241,profile,人物の紹介,section13
1242,appetite,食欲,section13
1243,impulse,衝動,section13
1244,script,台本,section13
1245,anniversary,(~周年)記念日,section13
1246,pension,年金,section13
1247,temper,気質/気性,section13
1248,cortex,皮質,section13
1249,syndrome,症候群,section13
1250,chamber,(特定の目的の)部屋,section13
1251,utility,公共事業,section13
1252,cattle,牛,section13
1253,herd,(牛などの)群れ,section13
1254,fluid,流動体/液体,section13
1255,pity,残念なこと,section13
1256,priest,聖職者,section13
1257,acquaintance,知人,section13
1258,offspring,子孫/子,section13
1259,famine,飢饉,section13
1260,deforestation,森林伐採,section13
1261,jail,刑務所/拘置所,section13
1262,commodity,商品,section13
1263,format,書式/形式,section13
1264,recipient,受け取る人,section13
1265,drill,訓練,section13
1266,inability,無能/無力,section13
1267,republic,共和国,section13
1268,combat,戦闘,section13
1269,debris,(破壊された後の)残骸/瓦礫,section13
1270,bug,病原菌(が起こす病気),section13
1271,fraction,わずか/一部,section13
1272,index,指標,section13
1273,intuition,直観(力)/直感,section13
1274,motive,動機,section13
1275,consent,同意/承諾,section13
1276,hierarchy,(社会の)階層制,section13
1277,monument,記念碑/遺跡,section13
1278,asset,資産,section13
1279,decent,まずまずの,section13
1280,competent,有能な,section13
1281,straightforward,単純な,section13
1282,cosmetic,化粧の/美容の,section13
1283,delicate,繊細な,section13
1284,interior,室内の,section13
1285,transparent,透明な,section13
1286,aesthetic,美的な,section13
1287,deliberate,故意の,section13
1288,demographic,人口統計学の,section13
1289,prehistoric,有史以前の,section13
1290,innate,生まれながらの,section13
1291,mild,穏やかな,section13
1292,toxic,有毒な,section13
1293,ashamed,恥じて,section13
1294,humble,謙虚な,section13
1295,peculiar,特有の,section13
1296,steep,(傾斜が)急な,section13
1297,trivial,ささいな/取るに足りない,section13
1298,magnificent,壮大な,section13
1299,wireless,無線(電信)の/ラジオの,section13
1300,ongoing,継続している/進行中の,section13
1301,assure,に自信を持って言う,section14
1302,precede,に先行する,section14
1303,revive,を復活させる,section14
1304,compel,に強いる,section14
1305,blossom,花が咲く,section14
1306,terrify,を怖がらせる,section14
1307,violate,(法律・規則など)に違反する,section14
1308,suppress,を抑える,section14
1309,deceive,をだます,section14
1310,manipulate,を(巧みに)操る,section14
1311,starve,飢える,section14
1312,flee,(から)逃げる,section14
1313,whisper,(を)ささやく,section14
1314,yell,叫ぶ/どなる,section14
1315,deposit,を置く,section14
1316,confine,を限定する,section14
1317,swing,を揺らす/振る,section14
1318,prolong,を長引かせる,section14
1319,depict,を描く,section14
1320,outline,の要点を述べる,section14
1321,shed,を捨て去る,section14
1322,emit,(光・熱など)を出す/排出する,section14
1323,renew,を更新する,section14
1324,utilize,を利用する,section14
1325,assert,を主張する,section14
1326,strain,に負担をかける,section14
1327,strive,努力する,section14
1328,dare,あえて[思い切って]…する,section14
1329,boast,を誇る,section14
1330,startle,をびっくりさせる,section14
1331,offend,の気分を害する,section14
1332,compute,(を)計算する,section14
1333,assemble,を集める,section14
1334,worsen,を悪化させる,section14
1335,flip,を(ぱっと)裏返す,section14
1336,rub,(を)こする,section14
1337,descend,(を)降りる,section14
1338,compensate,補償する,section14
1339,comprise,から成る,section14
1340,prevail,普及している,section14
1341,quest,探究,section14
1342,dignity,尊厳,section14
1343,criterion,(判断・評価の)基準,section14
1344,paradox,逆説,section14
1345,parliament,(英国などの)議会,section14
1346,legislation,法律,section14
1347,agenda,協議事項(リスト),section14
1348,mainstream,(活動・思潮などの)主流,section14
1349,troop,軍隊,section14
1350,epidemic,流行(病),section14
1351,outbreak,発生/勃発,section14
1352,chaos,混沌/大混乱,section14
1353,nightmare,悪夢(のような状況),section14
1354,horror,恐怖,section14
1355,cluster,集団,section14
1356,pollen,花粉,section14
1357,hive,ミツバチの巣(箱),section14
1358,irrigation,灌漑,section14
1359,dose,(薬の1回分の)服用量,section14
1360,suicide,自殺,section14
1361,feast,祝宴,section14
1362,cuisine,(独特の)料理/料理法,section14
1363,rumor,うわさ,section14
1364,proverb,ことわざ,section14
1365,signature,署名,section14
1366,formula,方法/解決策,section14
1367,tuition,授業料,section14
1368,intake,摂取量,section14
1369,spectrum,スペクトル,section14
1370,kidney,腎臓,section14
1371,gear,用具(一式)/器具,section14
1372,aisle,(座席間などの)通路,section14
1373,grief,深い悲しみ,section14
1374,destiny,運命,section14
1375,skull,頭骨/頭蓋骨,section14
1376,tomb,墓,section14
1377,monk,修道士/僧,section14
1378,worship,崇拝/礼拝(式),section14
1379,outstanding,際立った,section14
1380,unprecedented,前例のない,section14
1381,infinite,無限の,section14
1382,worthwhile,価値がある,section14
1383,indispensable,不可欠な,section14
1384,compulsory,義務的な/強制的な,section14
1385,probable,十分にありそうな,section14
1386,ambiguous,あいまいな,section14
1387,obscure,(世に)知られていない,section14
1388,skeptical,懐疑的な,section14
1389,fragile,壊れやすい,section14
1390,static,静的な,section14
1391,gradual,徐々の/緩やかな,section14
1392,vocal,声の/発声の,section14
1393,vivid,鮮やかな,section14
1394,imperial,帝国の,section14
1395,hostile,敵意のある,section14
1396,superficial,表面的な,section14
1397,scarce,乏しい,section14
1398,gross,総計の,section14
1399,inherent,生来の/本来的に備わっている,section14
1400,notable,注目に値する,section14
1401,update,を最新のものにする,section15
1402,refresh,(気分)をさわやかにする,section15
1403,bloom,花が咲く,section15
1404,conquer,を征服する,section15
1405,induce,を引き起こす,section15
1406,attain,を獲得する/達成する,section15
1407,spray,を吹きかける/に吹きつける,section15
1408,retrieve,(情報)を検索する,section15
1409,portray,を描く,section15
1410,scratch,を引っかく,section15
1411,designate,を指定する,section15
1412,contradict,と矛盾する,section15
1413,sigh,ため息をつく,section15
1414,disrupt,を混乱させる,section15
1415,depart,出発する,section15
1416,navigate,(を)誘導する,section15
1417,beg,に切に頼む,section15
1418,inhabit,に住んでいる,section15
1419,diagnose,(を)診断する,section15
1420,comprehend,を理解する,section15
1421,oblige,に義務づける,section15
1422,cram,に詰め込む,section15
1423,flock,群がる/集まる,section15
1424,underestimate,(を)過小評価する,section15
1425,clarify,を明確にする,section15
1426,spark,を引き起こす,section15
1427,seize,をつかむ,section15
1428,soar,急上昇する,section15
1429,glow,光り[照り]輝く,section15
1430,disguise,を変装させる,section15
1431,distort,を歪める,section15
1432,undermine,を徐々にむしばむ,section15
1433,abolish,を廃止する,section15
1434,strip,を[から]取り去る,section15
1435,dispose,を処分する,section15
1436,dump,を投棄する,section15
1437,weave,を織る,section15
1438,refine,を洗練する,section15
1439,enrich,を豊かにする,section15
1440,coordinate,を調整する,section15
1441,headline,(新聞などの)見出し,section15
1442,internship,実務[医学]研修,section15
1443,outlet,直売店/特売店,section15
1444,remedy,治療(法),section15
1445,pill,錠剤/丸薬,section15
1446,reception,反応,section15
1447,transaction,(商)取引,section15
1448,mutation,突然変異(体),section15
1449,dairy,乳製品,section15
1450,compassion,同情,section15
1451,posture,姿勢,section15
1452,curse,悪態/ののしりの言葉,section15
1453,funeral,葬式,section15
1454,census,国勢調査,section15
1455,encyclopedia,百科事典,section15
1456,cereal,穀物,section15
1457,fragment,断片,section15
1458,patch,部分/斑点,section15
1459,rubbish,ごみ,section15
1460,maze,迷路,section15
1461,outlook,見解,section15
1462,breakthrough,大発見/飛躍的進歩,section15
1463,triumph,勝利,section15
1464,ally,同盟国,section15
1465,spectator,(試合などの)観客,section15
1466,sphere,領域,section15
1467,county,郡,section15
1468,behalf,利益/見方,section15
1469,interval,(時間の)間隔,section15
1470,circulation,循環,section15
1471,blade,刃,section15
1472,theft,窃盗(罪),section15
1473,vacuum,真空,section15
1474,collision,衝突,section15
1475,bargain,買い得品,section15
1476,landmark,(ある場所の)目印,section15
1477,revenue,歳入,section15
1478,treaty,(国家間の)条約,section15
1479,supreme,最高の,section15
1480,thorough,徹底的な,section15
1481,naked,裸の,section15
1482,sincere,心からの,section15
1483,tame,飼いならされた/人に慣れた,section15
1484,insufficient,不十分な,section15
1485,dim,薄暗い,section15
1486,acute,(痛み・感情などが)激しい,section15
1487,disabled,障害のある,section15
1488,metropolitan,大都市の/首都圏の,section15
1489,monetary,金銭的な,section15
1490,alternate,代わりの,section15
1491,partial,部分的な,section15
1492,divine,神の,section15
1493,drastic,徹底的な/抜本的な,section15
1494,fierce,猛烈な,section15
1495,sole,唯一の,section15
1496,spontaneous,自然発生的な,section15
1497,spatial,空間の,section15
1498,neat,きちんとした,section15
1499,tidy,きちんとした/整頓された,section15
1500,loyal,忠実な,section15
1501,bless,に恩恵を与える,section16
1502,regain,を取り戻す,section16
1503,conform,順応する,section16
1504,enroll,登録する/入会する,section16
1505,entitle,に権利を与える,section16
1506,halt,を止める,section16
1507,provoke,(感情・行動など)を引き起こす,section16
1508,invade,を侵略する,section16
1509,squeeze,押し入る,section16
1510,crawl,はう,section16
1511,digest,を消化する,section16
1512,utter,(声)を発する,section16
1513,refrain,控える,section16
1514,populate,に住む/の住民である,section16
1515,accommodate,を収容する,section16
1516,steer,(を)操縦する,section16
1517,drown,溺死する,section16
1518,dip,を浸す,section16
1519,soak,を浸す,section16
1520,stir,をかき回す,section16
1521,transplant,を移植する,section16
1522,reassure,を安心させる,section16
1523,resume,(を)再開する,section16
1524,speculate,(と)推測する,section16
1525,surpass,を上回る,section16
1526,appoint,を任命する,section16
1527,intrigue,に興味を持たせる,section16
1528,decay,腐敗する,section16
1529,contaminate,を汚染する,section16
1530,swell,膨張する/腫れる,section16
1531,delete,を削除する/消す,section16
1532,tolerate,を許容する/我慢する,section16
1533,envy,をうらやむ,section16
1534,pray,(を)祈る,section16
1535,confess,(を)告白する,section16
1536,resign,(を)辞任する,section16
1537,dissolve,(を)溶かす,section16
1538,unfold,(閉じたもの)を開く,section16
1539,awaken,を目覚めさせる,section16
1540,conceive,(を)思いつく,section16
1541,entrepreneur,起業家/事業家,section16
1542,stake,利害関係,section16
1543,surplus,余剰/過剰,section16
1544,inflation,インフレ(－ション),section16
1545,sweatshop,搾取工場,section16
1546,clash,衝突,section16
1547,sociology,社会学,section16
1548,ideology,イデオロギー/思想傾向,section16
1549,margin,余白,section16
1550,realm,領域,section16
1551,domain,分野,section16
1552,algorithm,アルゴリズム,section16
1553,prairie,大草原,section16
1554,frontier,最先端,section16
1555,bullet,銃弾,section16
1556,shield,盾/防御物,section16
1557,despair,絶望,section16
1558,radiation,放射能/放射線,section16
1559,placebo,偽薬/プラシーボ,section16
1560,nursery,託児所,section16
1561,spouse,配偶者,section16
1562,makeup,化粧,section16
1563,mummy,ミイラ,section16
1564,flesh,(人・動物の)肉,section16
1565,limb,手足,section16
1566,odor,におい,section16
1567,laundry,洗濯(物),section16
1568,tide,潮(の干満),section16
1569,questionnaire,アンケート,section16
1570,nonsense,ばかげた物[話/考え],section16
1571,revenge,復讐,section16
1572,intellect,知性,section16
1573,hospitality,親切なもてなし/歓待,section16
1574,librarian,司書/図書館員,section16
1575,manuscript,(手書きの)原稿,section16
1576,obsession,(考えなどに)取りつかれること,section16
1577,hygiene,衛生(状態),section16
1578,paradigm,理論的枠組み/パラダイム,section16
1579,legitimate,合法的な,section16
1580,authentic,本物の,section16
1581,empirical,経験的な,section16
1582,immense,膨大な,section16
1583,absurd,ばかげた,section16
1584,weird,異様な/奇妙な,section16
1585,accidental,偶然の,section16
1586,uneasy,不安な,section16
1587,jealous,嫉妬深い,section16
1588,feminine,女らしい,section16
1589,swift,素早い,section16
1590,hollow,空洞の,section16
1591,crude,大まかな,section16
1592,sore,痛い,section16
1593,pessimistic,悲観的な,section16
1594,vain,無駄な,section16
1595,susceptible,影響を受けやすい,section16
1596,edible,食用の/食べられる,section16
1597,sheer,純然たる/真の,section16
1598,explicit,明白な,section16
1599,prone,なりやすい,section16
1600,affluent,裕福な,section16
1601,collaborate,共同して働く,section17
1602,exert,を及ぼす,section17
1603,excel,秀でている,section17
1604,prosper,栄える/成功する,section17
1605,surge,殺到する,section17
1606,intervene,介入する,section17
1607,insert,を挿入する,section17
1608,overtake,を追い抜く,section17
1609,snap,をパチンと鳴らす,section17
1610,carve,を彫る,section17
1611,addict,中毒になる,section17
1612,condemn,を非難する,section17
1613,convict,に有罪を宣言する,section17
1614,dictate,を指図する,section17
1615,prescribe,(薬など)を処方する,section17
1616,inhibit,を抑制する,section17
1617,stray,はぐれる/(道に)迷う,section17
1618,roam,(を)歩き回る,section17
1619,enclose,を同封する,section17
1620,execute,を実行する,section17
1621,coincide,同時に起こる,section17
1622,lag,遅れる,section17
1623,cling,しがみつく,section17
1624,erase,を消す,section17
1625,grind,(穀物など)をひく,section17
1626,knit,を編む,section17
1627,inquire,(を)尋ねる,section17
1628,betray,をうっかり表す,section17
1629,leak,漏れる,section17
1630,smash,を粉砕する,section17
1631,bounce,跳ねる,section17
1632,sprawl,(都市などが)不規則に広がる,section17
1633,converse,会話をする,section17
1634,recite,を暗唱する,section17
1635,disregard,を無視する,section17
1636,frown,眉をひそめる,section17
1637,evoke,を呼び起こす,section17
1638,pledge,を誓う/約束する,section17
1639,aspire,熱望する,section17
1640,contemplate,(を)熟考する,section17
1641,grace,優美/優雅,section17
1642,enlightenment,啓蒙/啓発,section17
1643,commerce,商業,section17
1644,draft,下書き,section17
1645,barrel,バレル(液量の単位),section17
1646,timber,木材,section17
1647,garment,衣服,section17
1648,thread,糸,section17
1649,cabinet,内閣,section17
1650,bureau,(官庁の)局,section17
1651,autonomy,(個人の)自律,section17
1652,toll,損害(の程度),section17
1653,discourse,話し合い/会話,section17
1654,superstition,迷信,section17
1655,glimpse,ちらりと見えること,section17
1656,arithmetic,計算,section17
1657,glossary,用語小辞典,section17
1658,archive,記録文書/公文書,section17
1659,legacy,遺産,section17
1660,anthropology,人類学,section17
1661,rage,激怒,section17
1662,sorrow,悲しみ,section17
1663,psychiatrist,精神科医,section17
1664,ward,行政区,section17
1665,stall,露店,section17
1666,flame,炎,section17
1667,moisture,水分,section17
1668,irony,皮肉,section17
1669,warrior,戦士,section17
1670,astronomy,天文学,section17
1671,probe,(無人)宇宙探査機,section17
1672,altitude,高度/標高,section17
1673,tumor,腫瘍,section17
1674,defect,欠陥,section17
1675,sanitation,公衆衛生(学),section17
1676,longevity,長寿,section17
1677,scope,(活動・能力などの)範囲,section17
1678,sentiment,感情,section17
1679,plausible,もっともらしい,section17
1680,vigorous,精力的な,section17
1681,masculine,男らしい,section17
1682,rigid,厳しい,section17
1683,adverse,不都合な,section17
1684,coherent,一貫した/筋の通った,section17
1685,literal,文字どおりの,section17
1686,arbitrary,恣意的な,section17
1687,anonymous,匿名の,section17
1688,antique,骨董の/アンティークの,section17
1689,eternal,永遠の,section17
1690,intermediate,中級の,section17
1691,subordinate,下位の,section17
1692,gloomy,陰気な,section17
1693,thermal,熱の/熱による,section17
1694,faint,かすかな,section17
1695,naive,お人よしの/愚直な,section17
1696,apt,傾向がある,section17
1697,arrogant,横柄な/傲慢な,section17
1698,extrovert,外向的な,section17
1699,conspicuous,目立つ,section17
1700,intact,損なわれていない/手つかずの,section17
1701,embody,を具現する,section18
1702,illuminate,を照らす,section18
1703,console,を慰める,section18
1704,verify,の正しさを証明[確認]する,section18
1705,disclose,を公表する/暴く,section18
1706,stack,を積む/積み重ねる,section18
1707,rotate,回転する,section18
1708,constrain,に強いる,section18
1709,hinder,を妨げる,section18
1710,withstand,に耐える,section18
1711,tweet,(を)ツイートする/つぶやく,section18
1712,sneeze,くしゃみをする,section18
1713,erupt,(火山が)噴火する,section18
1714,blur,をぼかす,section18
1715,overlap,(一部)重なる,section18
1716,embed,埋め込まれる/はめ込まれる,section18
1717,displace,に取って代わる,section18
1718,render,を(ある状態に)する,section18
1719,plunge,(を)突っ込む,section18
1720,surrender,を放棄する/引き渡す,section18
1721,plug,のプラグを電源に差し込む,section18
1722,suck,(を)吸う,section18
1723,mock,をばかにする,section18
1724,tease,(を)からかう,section18
1725,soothe,をなだめる,section18
1726,stain,を汚す,section18
1727,shun,を避ける,section18
1728,stumble,よろけながら歩く,section18
1729,flush,を紅潮させる,section18
1730,impair,を損なう,section18
1731,presume,と思う,section18
1732,contend,主張する,section18
1733,roar,うなる/ほえる,section18
1734,haunt,(記憶・考えなどが)につきまとう,section18
1735,divert,(注意など)をそらす,section18
1736,await,を待つ,section18
1737,fetch,を(行って)持って[連れて]くる,section18
1738,unify,を統合[統一]する,section18
1739,inspect,を点検する,section18
1740,entail,を伴う/引き起こす,section18
1741,tactics,作戦/方策,section18
1742,feat,偉業/功績,section18
1743,prestige,名声,section18
1744,analogy,類推,section18
1745,conscience,良心,section18
1746,textile,織物,section18
1747,deficit,赤字/不足,section18
1748,plague,疫病,section18
1749,hazard,危険(要素),section18
1750,metabolism,(新陳)代謝/代謝作用,section18
1751,paralysis,麻痺,section18
1752,grid,(電気などの)供給網,section18
1753,carriage,馬車,section18
1754,friction,不和,section18
1755,rebel,反逆者,section18
1756,regime,政権/政体,section18
1757,monopoly,独占(権),section18
1758,staple,必需食品,section18
1759,merchandise,商品,section18
1760,vendor,物売り/行商人,section18
1761,supervisor,監督者,section18
1762,predecessor,前任者,section18
1763,personnel,職員/社員,section18
1764,vessel,船舶,section18
1765,liver,肝臓,section18
1766,duration,(時間の)継続/持続(時間),section18
1767,certificate,証明書,section18
1768,geometry,幾何学,section18
1769,symmetry,(左右)対称,section18
1770,biography,伝記,section18
1771,masterpiece,傑作,section18
1772,rhyme,押韻詩,section18
1773,premium,保険料,section18
1774,breakdown,崩壊,section18
1775,courtesy,礼儀正しさ,section18
1776,protocol,(条約)議定書,section18
1777,specimen,標本,section18
1778,thesis,論文,section18
1779,eligible,適格の/資格のある,section18
1780,intrinsic,固有の/本質的な,section18
1781,diligent,勤勉な,section18
1782,vocational,職業の/職業訓練の(ための),section18
1783,bankrupt,破産宣告を受けた,section18
1784,stern,厳しい,section18
1785,stubborn,頑固な/強情な,section18
1786,maternal,母の/母親らしい,section18
1787,fertile,肥沃な,section18
1788,ripe,熟した,section18
1789,stiff,硬直した/凝った,section18
1790,obsolete,廃れた/使われなくなった,section18
1791,vacant,空いている,section18
1792,acoustic,音響の,section18
1793,preliminary,予備の/準備の,section18
1794,approximate,おおよその,section18
1795,implicit,暗黙の,section18
1796,punctual,時間を守る,section18
1797,compatible,矛盾しない,section18
1798,ample,十分すぎるほどの,section18
1799,pervasive,隅々に広がった,section18
1800,ubiquitous,至る所にある,section18
1801,deduce,を推測する/演繹する,section19
1802,simulate,を模擬実験する,section19
1803,merge,(を)合併する,section19
1804,penetrate,(に)浸透する,section19
1805,cater,(の)料理をまかなう,section19
1806,assault,に暴行する,section19
1807,torture,を拷問にかける,section19
1808,bleed,出血する,section19
1809,erect,を建てる,section19
1810,cherish,を大切にする,section19
1811,arouse,(感情など)を引き起こす,section19
1812,doom,運命にある,section19
1813,mourn,(を)悼む,section19
1814,dread,をひどく恐れる,section19
1815,nourish,に栄養を与える,section19
1816,inject,(人)に注射する/を注入する,section19
1817,swear,ののしる,section19
1818,bid,の値をつける,section19
1819,corrupt,を堕落させる,section19
