歴史or地理,分野,問題,解答
歴史,世界の動きと全国統一,フランシスコ・ザビエルは，宗教改革に対抗してカトリック側が組織した団体の設立者の一人であった。何という団体か。,イエズス会
歴史,世界の動きと全国統一,祇園祭を復活した，京都の裕福な商工業者を何というか。,町衆
歴史,世界の動きと全国統一,織田信長と徳川家康の連合軍が3000丁の鉄砲を使って，武田氏の騎馬隊を破った戦いを何というか。,長篠の戦い
歴史,世界の動きと全国統一,織田信長のあとをついで天下を統一した豊臣秀吉が，農民の反抗を抑えるために行った政策を何というか。,刀狩令
歴史,世界の動きと全国統一,豊臣秀吉が行った，武士と農民の区別をはっきりさせたことを何というか。,兵農分離
歴史,江戸幕府の成立と鎖国,江戸時代，幕府と藩が全国の土地と人民を支配した体制を何というか。,幕藩体制
歴史,江戸幕府の成立と鎖国,徳川家康が，貿易許可証を発行して奨励した貿易を何というか。,朱印船貿易
歴史,江戸幕府の成立と鎖国,関ヶ原の戦い以前から徳川家に従っていた大名を何というか。,譜代大名
歴史,江戸幕府の成立と鎖国,637年，重税と厳しい禁教政策に反抗した農民一揆が九州地方の天草地方を中心におきた。天草四郎が頭となったこの一揆を何というか。,島原・天草一揆
歴史,江戸幕府の成立と鎖国,年貢を確実に取り立てるため， 5～ 6戸を基準として百姓たちに組織させ，共同責任を負わせた制度を何というか。,五人組
歴史,産業の発展,江戸時代に三都を中心に発達した，金銀の交換などを行う，今日の銀行のような業務を行った商人を何というか。,両替商
歴史,産業の発展,江戸時代の主要な五つの陸上交通路をまとめて何というか。,五街道
歴史,産業の発展,諸藩が米や特産品の販売などを日的に設けた蔵を何というか。,蔵屋敷
歴史,幕政の改革, 作業場に労働者を集め，分業によって生産を行うことを何というか。,工場制手工業（マニュファクチュア）
歴史,幕政の改革,徳川吉宗は財政不足を補うために参勤交代を緩めるかわりに大名に対して米を上納させた。この政策を何というか。,上げ米の制
歴史,幕政の改革,田沼意次が政治の実権を握っていたころ，東北地方を中心に大規模な大規模なききんが発生した。このききんを何というか,天明のききん
歴史,幕政の改革,江戸時代に諸藩が設けた教育施設を何というか。,藩校
歴史,幕政の改革,蘭学者らの鎖国政策への批判に対し，幕府が行った蛮社の獄で処罰されたのは，高野長英のほかにだれがいるか。,渡辺崋山
歴史,欧米の進出と日本の開国,18世紀後半にイギリスから始まった，蒸気機関の使用にともなう生産・社会の変革を何というか。,産業革命
歴史,欧米の進出と日本の開国,1789年に起きたフランス革命の際出された宜言を何というか。,人権宣言
歴史,欧米の進出と日本の開国,日米和親条約により開港した港は，函館のほかにどこがあるか。,下田
歴史,欧米の進出と日本の開国,日米修好通商条約が， 日本にとり不利な不平等条約であったのは，領事裁判権を認めたことと， 日本に何がなかったことか。,関税自主権
歴史,欧米の進出と日本の開国,薩長同盟の仲立ちをした土佐藩出身の人物はだれか。,坂本龍馬
歴史,欧米の進出と日本の開国,徳川慶喜が大政奉還を行った直後朝廷が政治を天皇中心に戻すことを宣言したが， この宣言を何というか。,王政復古の大号令
歴史,欧米の進出と日本の開国,1868年からはじまった，新政府軍と旧幕府軍の一連の戦いを何というか。,戊辰戦争
歴史,明治維新,明治政府の、経済を発展させ軍隊を強化するための政策をなんというか。,富国強兵
歴史,明治維新,官営模範工場をつくるなどの、明治政府の近代産業育成政策をなんというか。,殖産興業
歴史,明治維新,1872年、群馬県富岡につくられた官営模範工場を何というか。,富岡製糸場
歴史,明治維新,1879年、軍隊を送って琉球藩を廃止し、人々の反対を押さえつけて沖縄県を設置したことを何というか。,琉球処分
歴史,自由民権運動と帝国憲法,自由民権運動を進め、国会の解説が始まると立憲改進党を中心となって結成した人物は誰か。,大隈重信
歴史,自由民権運動と帝国憲法,1884年、埼玉県の農民らが困民党を結成し、借金の帳消しなどを求めて郡役所を襲ったが、軍隊などに鎮圧された事件を何というか。,秩父事件
歴史,自由民権運動と帝国憲法,大日本帝国憲法は天皇中心の中央集権国家をつくるため、君主制の強いある国の憲法を参考にして考えられた。ある国とはどこか。,プロイセン（ドイツ）
歴史,日清・日露戦争と近代日本,ロシア・ドイツ・フランスが、日本に対して遼東半島の清への変換を要求し、日本がこれを受け入れたことを何というか。,三国干渉
歴史,日清・日露戦争と近代日本,1900年、中国で起こった外国人を退けようとする運動を何というか。,義和団事件
歴史,日清・日露戦争と近代日本,足尾銅山の鉱毒被害を天皇に直訴しようとしたのは誰か。,田中正造
歴史,日清・日露戦争と近代日本,日清戦争の賠償金の一部などでつくられた官営の製鉄所を何というか。,八幡製鉄所
歴史,第一次世界大戦とアジア,1915年、日本が中国に対してつきつけた、山東省にあるドイツの権益の引継ぎ、南満州鉄道の利権の期限の延長などの要求を何というか。,二十一か条の要求
歴史,第一次世界大戦とアジア,アメリカ合衆国ウィルソンが唱えた、民族の帰属は、その民族自身の遺志により、決定することができるとした権利は何というか。,民族自決
歴史,第一次世界大戦とアジア,1917年、レーニンの指導によりロシアで起こった革命を何というか。,ロシア革命
歴史,第一次世界大戦とアジア,1921年～22年、アメリカの提唱で開かれた軍縮や中国・太平洋問題を話し合った会議を何というか。,ワシントン会議
歴史,第一次世界大戦とアジア,第一次世界大戦中に発展し、日本の経済を支配した企業グループを何というか。,財閥
歴史,第一次世界大戦とアジア,インドで非暴力・不服従を唱えて、反英運動を指導した人物は誰か。,ガンディー
歴史,大正デモクラシーと大衆文化,大正時代にさかんになった民主主義を求める風潮と運動を何というか。,大正デモクラシー
歴史,大正デモクラシーと大衆文化,青鞜者・新婦人協会を設立した女性運動家はだれか。,平塚らいてう
歴史,大正デモクラシーと大衆文化,1922年、差別部落の人々が結成した組織を何というか。,全国水平社
歴史,世界恐慌と日本の中国侵略,世界恐慌時、5か年計画を推進し、農業の集団化や工業の重工業化を進め、恐慌の影響を受けなかった国はどこか。,ソ連
歴史,世界恐慌と日本の中国侵略,1931年の満州事変の後、満州の主要部を占領した日本軍が、清朝最後の皇帝溥儀を元首として建てた国を何というか。,満州国
歴史,世界恐慌と日本の中国侵略,ドイツで1933年に政権を握ったナチスを率いた人物は誰か。,ヒトラー
歴史,世界恐慌と日本の中国侵略,日中戦争がはじまると、中国において対立していた国民政府と共産党が日本に対して徹底抗戦するために結成したものは何か。,抗日民族統一戦線
歴史,世界恐慌と日本の中国侵略,1938年、戦争を遂行するため、議会の承認なしに政府が資源や労働力を動員できるように定めた法律は何か。,国家総動員法
歴史,世界恐慌と日本の中国侵略,1940年、戦争に協力するため、政党や政治団体が解散して結成した組織は何というか。,大政翼賛会
歴史,第二次世界大戦,日本が三国同盟を結んだ、ドイツやイタリアで行われた、軍国主義的な独裁政治を何というか。,ファシズム
歴史,第二次世界大戦,1941年、日本が北方の安全を確保するためにソ連と結んだ条約はなにか。,日ソ中立条約
歴史,第二次世界大戦,太平洋戦争中、空襲を避けるため都市の小学生たちを集団で農村に移した政策をなんというか。,学童疎開（集団疎開）
歴史,第二次世界大戦,太平洋戦争において、本土で唯一戦場となり、一般住民に多くの犠牲者が出た県はどこか。,沖縄県
歴史,日本の民主化と国際社会への復帰,第二次世界大戦後、日本の非軍事化・さまざまな分野での民主化政策を進めた、連合軍最高司令官総司令部の略称をなんというか。,GHQ
歴史,日本の民主化と国際社会への復帰,第二次世界大戦後朝鮮半島はある線を境として北側はソ連軍、南側はアメリカ群が分割占拠した。ある線とは北緯何度の緯線か。,北緯38度
歴史,日本の民主化と国際社会への復帰,1950年におこった朝鮮戦争の時、日本はアメリカ軍がは中下軍需用物資により好景気となった。この好景気を何とよんでいるか。,特需景気
歴史,日本の民主化と国際社会への復帰,朝鮮戦争中に創設され、後の自衛隊のもととなった組織はなにか。,警察予備隊
歴史,国際社会と日本,1955年、インドネシアのバンドンで開かれた会議を何というか。,アジア・アフリカ会議
歴史,国際社会と日本,1956年に調印した、日本とソ連との国交回復の宣言をなんというか。,日ソ共同宣言
歴史,国際社会と日本,1965年に大韓民国と締結した条約を何というか。,日韓基本条約
歴史,国際社会と日本,国連が行う平和維持活動の略称をなんというか。,PKO
歴史,国際社会と日本,1980年代後半から1990年代初めにかけての、実態をともなわない地価・株価の上昇を何というか。,バブル経済
歴史,国際社会と日本,2011年に発生した大地震にともなう災害を何というか。,東日本大震災
地理,世界地理,三大洋の中で最も広い海洋を何というか。,太平洋
地理,世界地理,六大陸の中で最も面積が大きく，束にアジア州，西にヨーロッパ州がある大陸を何というか。,ユーラシア大陸
地理,世界地理,緯度の基準となる0度の綽線を何というか。,赤道
地理,世界地理,イギリスのロンドンを通る経度0度の経線を何というか。,本初子午線
地理,世界地理,地球をそのまま縮小した校型で，形，面積，方位，距離，角度のすべてをほぼ正確に表しているものは何か。,地球儀
地理,世界地理,世界を6つの州に分けたとき，アジア州．ヨーロッパ州．アフリカ州，北アメリカ州，南アメリカ州ともう1つは何州か。,オセアニア州
地理,世界地理,アジア州とヨーロッパ州にまたがる面積が最も大きい国はどこか。,ロシア（連邦）
地理,世界地理,約14 億人の人口をもつ，束アジアに位四する国はどこか。,中国（中華人民共和国）
地理,世界地理,国土が全く海に面していない，モンゴル，スイスなどの国を何というか。,内陸国
地理,世界地理,太平洋の周りを取り囲むように述なる造山帯を何というか。,環太平洋造山帯
地理,世界地理,アフリカ大陸を流れる世界で最も長い河川を何というか,ナイル川
地理,世界地理,国の領域は領土・領海ともう1つは何か。,領空
地理,世界地理,日本が標準時子午線としているのは． 束経何度の経線か。,１３５度
地理,世界地理,日本を7つの地方に区分すると．北海道、東北、関束、 中部、中国・四国、九州地方ともう1つは何地方に分けられるか,近畿地方
地理,世界地理,赤道を中心に広がる、 1年を通して気温が高い気候帯を何というか。,熱帯
地理,世界地理,温帯を大きく3つに分けると．温暖湿潤気候．西岸海洋性気候ともう1つは何気候か,地中海性気候
地理,世界地理,1年を通して降水址が少ない気候帯を何というか。,乾燥帯
地理,世界地理,欧米などで主食とされている穀物は何か。,小麦
地理,世界地理,ムハンマドが開いた世界三大宗教の1つは何か。,イスラム教
地理,世界地理,インドの人々の多くが信仰している宗教は何か,ヒンドゥー教
地理,世界地理,東・東南アジアの気候に大きな影評を与えている，季節によって風向きの異なる風を何というか。,モンスーン（季節風）
地理,世界地理,中国の人口の約9割を占める民族は何か。,漢民族（漢族）
地理,世界地理,ペルシャ湾沿岸で多く産出する鉱産資源は何か,原油（石油）
地理,世界地理,東南アジア10か国が政治・経済• 安全保障などで協力するために結成した組織を何というか。,ASEAN(東南アジア諸国連合）
地理,世界地理,ヨーロッパ北西部の気候に大きな影評を与える暖流を何というか。,北大西洋海流
地理,世界地理,穀物栽培と家畜の飼背を組み合わせた農業を何というか。,混合農業
地理,世界地理,ヨーロッパ諸国が政治・経済的な結びつきを深めるため結成した組織を何というか,EU(ヨーロッパ連合）
地理,世界地理,西ヨーロッパ最大の艮業国で．発霞の多くを原子力に頻っている国名を書け。,フランス
地理,世界地理,ヨーロッパ最大の工業国で．世界有数の貿易国でもある国名を書け。,ドイツ
地理,世界地理,マンガンやクロムなど埋蔵量や産出量が少ない金属資源を何というか,レアメタル（希少金属）
地理,世界地理,"アフリカでもっとも工業化が進み．かつてはヨーロッパ系の支配者に,よる人種隔離政策をとっていた国はどこか。",南アフリカ共和国
地理,世界地理,アメリカ合衆国東部の．炭田が多いなだらかな山地を何というか。,アパラチア山脈
地理,世界地理,アメリカ合衆国で急増している．スペイン語を話す中・南アメリカからの移住者を何というか,ヒスパニック
地理,世界地理,それぞれの地域の気候や土壌に合わせて行う農業を何というか,適地適作
地理,世界地理,サンノゼ近郊に位置する．電子工業が集中している地域を何というか。,シリコンバレー
地理,世界地理,カナダの開拓の中心となったのは．イギリスとどこの国の人々か,フランス
地理,世界地理,13 ~ 16 世紀に． アンデスで高度な文明をもっていた国を何というか。,インカ帝国
地理,世界地理,ブラジルのアマゾン川流域に広がる熱帯雨林を何というか,セルバ
地理,世界地理,オセアニアを大きく3つに分けると，ポリネシア・メラネシアともう1つは何か,ミクロネシア
地理,世界地理,オーストラリアの先住民を何というか,アボリジニ
地理,人々の生活と環,気温が0℃以下の期間が長く，一年の大半が雪と氷におおわれる気候帯を何というか。,寒帯
地理,人々の生活と環,冬はー30℃以下，夏は30℃近くになる地域もある，一年の気温差が大きい気候帯を何というか,冷帯（亜寒帯）
地理,人々の生活と環,冷帯（亜寒帯）に広がる針葉樹林帯を何というか。,タイガ
地理,人々の生活と環,温和な気温で適度な降水量のある気候帯を何というか。,温帯
地理,人々の生活と環,砂漠などが広がる，降水量がきわめて少ない気候帯を何というか。,乾燥帯
地理,人々の生活と環,一年を通して気温が高く．降水量も多い気候帯を何というか。,熱帯
地理,人々の生活と環,三大宗教とよばれるのは．仏教．イスラム教ともう1つは何か,キリスト教
地理,ァジア州,東アジア，南アジアなどの気候に影響をおよぼす，夏と冬で向きが変わる風を何というか。,季節風（モンスーン）
地理,ァジア州,アジア州の人口が世界の人口にしめる割合は，およそ何割か。,約6割
地理,ァジア州,中国の人口の9割以上をしめる民族を何というか。,漢族（漢民族）
地理,ァジア州,中国のように， 漢族（漢民族）のほか多くの民族からなっている国を何というか。,多民族国家
地理,ァジア州,タイの多くの人が信仰する宗教は何か,仏教
地理,ァジア州,東南アジアの国々が，政治・経済などの発展をめざして結成した国際組織を何というか。,東南アジア諸国連合(ASEAN）
地理,ァジア州,西アジアの国々の多くの人が信仰する宗教は何か。,イスラム教
地理,ァジア州,インドで近年急速に成長している情報通信技術産業のことを，アルファペットを用いて何というか。,ICT 産業
地理,ョーロッバ州,ヨーロッパ西部の気候に影響をおよぼす，つねに西からふく風を何というか。,偏西風
地理,ョーロッバ州,ヨーロッパの民族を3つに分けると，ゲルマン系，スラプ系ともう１つは何か。,ラテン系
地理,ョーロッバ州,ヨーロッパの多くの人が信仰する宗教を何というか。,キリスト教
地理,ョーロッバ州,ヨーロッパで広く行われている，穀物栽培と家畜の飼育を組み合わせた農業を何というか。,混合農業
地理,ョーロッバ州,EUを日本語で何というか。,ヨーロッバ連合（欧州連合）
地理,ョーロッバ州,ヨーロッパのアルプス山脈より南の地域で多く行われている，夏にぶどう，オリープなど，冬に小麦を栽培する農業を何というか。,地中海式農業
地理,アフリカ州,かつてアフリカから多くの人々が奴隷として連れて来られた大陸はどことどこか。,北アメリカ大陸、南アメリカ大陸
地理,アフリカ州,アフリカの大部分はかつて他国に支配された。このような地域を何というか,植民地
地理,アフリカ州,砂漠化が進む，サハラ砂漠の南倒の地域を何というか。,サヘル
地理,アフリカ州,アフリカで産出する，電子機器に不可欠な希少金属を何というか。,レアメタル
地理,アフリカ州,アフリカで見られる，かつてヨーロッパ人が開発した大農園を何というか。,プランテーション
地理,アフリカ州,特定の農産物や鉱産資源の輸出にたよる，不安定な経済を何というか。,モノカルチャー経済
地理,北アメリカ州,アメリカ合衆国のほぼ西経100度線を境にして降水量が少ないのは．西側と東測のどちらか。,西側
地理,北アメリカ州,アメリカ合衆国の人口の最も多くをしめる民族は，ヨーロッパ系とアフリカ系のどちらか。,ヨーロッパ系
地理,北アメリカ州,近年，アメリカ合衆国で増加している．スペイン語を話すメキシコや西インド諸島などからの移民を何というか。,ヒスパニック
地理,北アメリカ州,アメリカで生まれた．ハンバーガーのように手軽にできる食事を何というか,ファーストフード
地理,北アメリカ州,アメリカで行われている，各地域の自然環境に適した少ない種類の作物を栽培することを何というか。,適地適作
地理,北アメリカ州,作物の運搬や販売のほか．農業に関連するさまざまな事業に関わり影響力をもつ企業のうち．特に穀物に関わる大企業を何というか。,穀物メジャー
地理,北アメリカ州,アメリカ合衆国のほぼ北緯37度以南に発達した工業地域を何というか,サンベルト
地理,北アメリカ州,"サンフランシスコ近郊にある, I CT(情報通信技術）産業の企業や研究所が集まっている地域を何というか。",シリコンバレー
地理,南アメリカ州,かつてアンデス地方に栄えていたインカ帝国をほろぼしたのは，どの国の人々か。,スペイン
地理,南アメリカ州,ブラジルの公用語は何語か。,ポルトガル語
地理,南アメリカ州,ブラジル以外の南アメリカの大部分の国の公用語は何語か。,スペイン語
地理,南アメリカ州,アマゾン川流域で伝統的に行われてきた．森林を焼いた灰を肥料として作物を栽培する農業を何というか,焼畑農業
地理,南アメリカ州,ブラジルでさかんなさとうきびなどを発酵させてつくるアルコール燃料を何というか。,バイオエタノール/バイオ燃料
地理,ォセアニア州,オセアニアの島々は，メラネシア， ミクロネシアともう1つ何という地域に分けられるか。,ポリネシア
地理,ォセアニア州,オーストラリアの先住民を何というか。,アボリジニ
地理,ォセアニア州,ニュージーランドの先住民を何というか。,マオリ
地理,ォセアニア州,オーストラリアとニュージーランドをかつて植民地としていた国はどこか。,イギリス
地理,ォセアニア州,オーストラリアの東部で多く産出する鉱産資源は何か。,石炭
地理,ォセアニア州,オーストラリアでかつて行われていた， ヨーロッパ系以外の移民を制限する政策を何というか。,白豪主義
地理,ォセアニア州,白豪主義の政策を転換したオーストラリアがめざしている，さまざまな文化を尊重する社会を何というか。,多文化社会
地理,世界地理,三大洋のうち．アジア，アフリカ，オーストラリア，南極大陸に囲まれている海洋を何というか。,インド洋
地理,世界地理,六大陸の中で面積が最も小さい大陸はどこか,オーストラリア大陸
地理,世界地理,綽度は赤道を中心として．南北に何度ずつに分けられているか。,９０度
地理,世界地理,経度はイギリスのロンドンを通る本初子午線を中心として．東西に何度ずつに分けられているか,１８０度
地理,世界地理,地球儀は．形．面積．方位．距維のほか．何をほほ正確に表しているか。,角度
地理,世界地理,世界を6つの州に分けたとき． 日本や韓国は何州に属しているか。,アジア州
地理,世界地理,イタリアの首都ローマ市内にある．世界で面積が最も小さい国はどこか。,バチカン市国
地理,世界地理,南アジアに位置する約14憶人の人口をもつ国はどこか。,インド
地理,世界地理,日本・フィリピンなどのように海に囲まれている国を何というか。,島国（海洋国）
地理,世界地理,ユーラシア大陸の南部を東西に述なる造山帯を何というか。,アルプス＝ヒマラヤ造山帯
地理,世界地理,南アメリカ大陸を流れる世界で最も流域面積が大きい河川を何というか,アマゾン川
地理,世界地理,領海の外側に広がる．沿岸から200海里以内の水域を何というか,排他的経済水域
地理,世界地理,日本の様準時子午線である東経135度の経線が通る．兵庫県の都市はどこか,明石市
地理,世界地理,中部地方をさらに3つに区分した場合．北陸．中央高地ともう1つはどこか,東海
地理,世界地理,熱幣は熱幣雨林気候と何気候に分けられるか。,サバナ気候
地理,世界地理,日本は温滞のうち，何という気候に属しているか。,温暖湿潤気候
地理,世界地理,乾燥僻に見られる気候のうち．比較的降水量が多い気候を何というか。,ステップ気候
地理,世界地理,束・東南・南アジアの人々の多くが主食としている穀物は何か。,米
地理,世界地理,シャカが開いた世界三大宗教の1つは何か。,仏教
地理,世界地理,ヒンドゥー教の人々にとって神聖な動物は何か。,牛
地理,世界地理,"東南アジアなどで行われている, １種類の作物を大量に栽培する大規模な農園を何というか",プランテーション
地理,世界地理,中国で人口を抑制するためにとられていた政策を何というか,一人っ子政策
地理,世界地理,ペルシャ湾沿岸に位置し．石池の輸出量が世界一の国はどこか。,サウジアラビア
地理,世界地理,西アジアの産油国を中心に結成した石油輸出国機構の略称を何というか。,OPEC
地理,世界地理,ヨーロッバの気候に大きな影響を与える．一年を通して同じ方向から吹く風を何というか。,偏西風
地理,世界地理,地中海性気候の特色を利用して行う農業を何というか。,地中海式農業
地理,世界地理,EUで導入された共通通貨を何というか。,ユーロ
地理,世界地理,多くの観光客が訪れるフランスの首都はどこか。,パリ
地理,世界地理,ルール炭田とライン川の水運を背景に発遠した工業地域はどこか。,ルール工業地域
地理,世界地理,特定の一次産品の生産・輸出に頻っている経済状態を何というか。,モノカルチャー経済
地理,世界地理,南アフリカ共和国でかつてとられていた人種隔離政策を何というか。,アパルトヘイト
地理,世界地理,アパラチア山脈の西に広がる平原を南流する北アメリカ最長の河川を何というか,ミシシッピ川
地理,世界地理,アメリカ合衆国の先住民はイヌイットと何と呼ばれる人々か,ネイテイプアメリカン
地理,世界地理,アメリカ合衆国は．小麦・とうもろこしなどの世界一の輸出国であることから．世界の□とよばれている。□にあてはまる語句を書け,食料庫
地理,世界地理,アメリカ南部の北緯37 度以南に発達した工業地域を何というか,サンベルト
地理,世界地理,カナダの公用語はフランス語と何か。,英語
地理,世界地理,南アメリカに多い，インデイオとヨーロッパ系の混血を何というか。,メスチソ（メスチーソ）
地理,世界地理,アマゾン川流域で伝統的に行われている農業を何というか。,焼畑農業
地理,世界地理,サモア・トンガやハワイ諸島が含まれるオセアニアの島々を何というか,ポリネシア
地理,世界地理,ニュージーランドの先住民族を何というか。,マオリ
地理,自然環境・人口から見た日本,日本の中央に位置する，飛騨山脈・木曽山脈・赤石山脈をまとめて何とよんでいるか。,日本アルプス
地理,自然環境・人口から見た日本,太平洋側を北上する暖流をなんというか。,黒潮（日本海流）
地理,自然環境・人口から見た日本,北海道はなんという気候帯に属するか。,冷帯（亜寒帯）
地理,自然環境・人口から見た日本,現在の日本のように、年少人口が減少し、高齢者が増加した社会をなんというか。,少子高齢社会
地理,自然環境・人口から見た日本,人口の減少などにより，社会生活が維持できなくなるような現象を何というか,過疎（化）
地理,自然環境・人口から見た日本,都心部の人口が減り，郊外の人口が増加している現象を何というか。,ドーナツ化現象
地理,自然環境・人口から見た日本,災害の予測や対策を書き込んだ地図のことを何というか。,ハザードマップ
地理,自然環境・人口から見た日本,夏に気温が上がらず，農作物の育ちが悪くなる災害を何というか。,冷害
地理,資源・エネルギーと産業から見た日本,日本の電力の中心となっている発電方法は何か。,火力発電
地理,資源・エネルギーと産業から見た日本,高知平野などで盛んな， ビニールハウスなどを利用し，出荷時期を早める栽培方法を何というか。,促成栽培
地理,資源・エネルギーと産業から見た日本,育てる漁業には養殖漁業のほかに何があるか。,栽培漁業
地理,資源・エネルギーと産業から見た日本,関東から九州北部にかけて帯状に連なる，工業の盛んな地域を何というか。,太平洋ベルト
地理,資源・エネルギーと産業から見た日本,鉱工業，建設業は第何次産業にふくまれるか。,第二次産業
地理,資源・エネルギーと産業から見た日本,その国で消費する食料をその国で生産している割合のことを何というか。,食料自給率
地理,地域間の結びつきから見た日本,貿易額が日本最大の貿易港はどこか。,成田国際空港
地理,地域間の結びつきから見た日本,2016年に新青森，新函館北斗間が開通した新幹線を何というか。,北海道新幹線
地理,地域間の結びつきから見た日本,1988年に開通した，最初の本州四国連絡橋を何というか。,瀬戸大橋
地理,地域間の結びつきから見た日本,かって日本の貿易の中心であった，原料を輸入し製品を輸出する貿易を何というか。,加工貿易
地理,自然環境・人口から見た日本,日本列島を東日本と西日本に分ける，本外1の中央を南北に横切る地溝帯を何というか。,フォッサマグナ
地理,自然環境・人口から見た日本,太平洋側を南下する寒流を何というか。,親潮（千島海流）
地理,自然環境・人口から見た日本,北海道では見られない， 6月から7月にかけて続く長雨を何というか。,梅雨
地理,自然環境・人口から見た日本,年少人口が少なく，老年人口が多い人ロピラミッドの型を何というか。,つぼ型
地理,自然環境・人口から見た日本,三大都市圏などに見られる，人口が過度に集中した状況を何というか。,過密（化）
地理,自然環境・人口から見た日本,1960年代から1970年代にかけて，郊外の多摩や千里などにつくられた地域を何というか。,ニュータウン
地理,自然環境・人口から見た日本,2011年3月11日に発生した地震による災害を何というか。,東日本大震災
地理,自然環境・人口から見た日本,地震の震源が海底のとき，沿岸部が襲われることがある災害を何というか。,津波
地理,資源・エネルギーと産業から見た日本,石油・石炭，天然ガスなと，燃やすと二酸化炭素を発生する燃料を何というか。,化石燃料
地理,資源・エネルギーと産業から見た日本,高知平野などで盛んなビニールハウスなどの施設を利用して行う農業の方法を何というか。,施設園芸農業
地理,資源・エネルギーと産業から見た日本,2021年現在漁獲量が最も多い，日本の排他的経済水域内で行う漁業を何というか。,沖合漁業
地理,資源・エネルギーと産業から見た日本,太平洋ベルトにふくまれる，東京都・川崎市・横浜市を中心とするエ業地帯を何というか。,京浜工業地帯
地理,資源・エネルギーと産業から見た日本,商業・運輸，金融業などは第何次産業にふくまれるか。,第三次産業
地理,資源・エネルギーと産業から見た日本,主な農産物で， 日本で最も自給率が高いものは何か。,米
地理,地域間の結びつきから見た日本,輸出超過が原因でおこる，貿易をめぐる国と国の対立を何というか。,貿易摩擦
地理,地域間の結びつきから見た日本,1964年， 日本で最初に開通した新幹線を何というか。,東海道新幹線
地理,地域間の結びつきから見た日本,本州四国連絡橋のうち， 1999年に開通した尾道・今治ルートを何というか。,しまなみ海道
地理,地域間の結びつきから見た日本,2021年現在，日本の最大の貿易相手国はどこか。,中国/中華人民共和国
