時代,問題内容,答え
運動エネルギー,定滑車を1つ使って物体を引き上げたとき，物体にする仕事の大きさは，直接持ち上げたときと比べてどうなるか。,変わらない。
運動エネルギー,動滑車を1つ使って物体を引き上げたとき，加える力の大きさは，直接持ち上げたときと比べて何倍になるか。,1/2倍
運動エネルギー,動滑車を1つ使って物体を引き上げたとき，力を加える距離は，直接持ち上げたときと比べて何倍になるか。,２倍
運動エネルギー,動滑車を 1つ使って物体を引き上げたとき物体にする仕事の大きさは直接持ち上げたときと比べてどうなるか。,変わらない。
運動エネルギー,物体の位置が高いほど，物体がもつ位置エネルギーの大きさはどうなるか。,大きくなる。
運動エネルギー,運動している物体の速さが速いほど，物体がもつ運動エネルギーの大きさはどうなるか。,大きくなる。
運動エネルギー,運動している物体がもつ位置エネルギーが減少すると，物体のもつ運動エネルギーの大きさはどうなるか。,増加する
運動エネルギー,エネルギーの総量が変換の前後で変化しないことを何というか。,エネルギーの保存
運動エネルギー,エネルギーを変換したとき，もとのエネルギーに対する，目的のエネルギーに変換された割合を何というか。,変換効率
運動エネルギー,光電池は，何エネルギーを電気エネルギーに変換しているか。,光エネルギー
運動エネルギー,乾電池は，何エネルギーを電気エネルギーに変換しているか。,化学エネルギー
地球と宇宙,地球の自転の向きは，地軸を中心に，「東から西」・「西から東」のどちらか,西から東
地球と宇宙,地球が90度自転するのにかかる時間は，約何時間か。,６時間
地球と宇宙,太陽の位置を透明半球上に記録するとき，サインペンの先の影が，透明半球のふちがつくる円のどの位置にくるようにするか,中心
地球と宇宙,北の空の星は，何という星を中心にして回転しているように見えるか,北極星
地球と宇宙,北の空の星は，北極星を中心に，時計回り・反時計回りのどちらに回転して見えるか。,反時計回り
地球と宇宙,地球の公転の向きは，北極側から見て，時計回り・反時計回りのどちらか。,反時計回り
地球と宇宙,同じ時刻に南の空に見える星は， 日がたつにつれて， 「東から西」・「西から東」のどちらにずれていくか,東から西
地球と宇宙,星が同じ位置に見える時刻は， 1か月で約何時間早くなるか。,２時間
地球と宇宙,冬の真夜中の南の空に見られるのは，いて座・オリオン座のどちらか,オリオン座
地球と宇宙,夏の真夜中の南の空に見られるのは，さそり座・ふたご座のどちらか,さそり座
地球と宇宙,季節による太陽の動きの変化の原因は，地球の自転・公転のどちらか,公転
地球と宇宙,地球の地軸は，公転面に垂直な方向に対して約何度傾いているか。,２３．４度
地球と宇宙,地球は，恒星・惑星・衛星のうち，どれにあたるか,惑星
地球と宇宙,太陽は，恒星・惑星・衛星のうち，どれにあたるか。,恒星
地球と宇宙,月は，恒星・惑星・衛星のうち，どれにあたるか。,衛星
地球と宇宙,太陽系の中に惑星は何個あるか。,８個
地球と宇宙,太陽系の惑星のうち，最も大きい惑星は何か,木星
地球と宇宙,太陽系の惑星のうち，太陽から最も近い惑星は何か。,水星
地球と宇宙,おもに岩石や金属からなるのは，地球型惑星・木星型惑星のどちらか,地球型惑星
地球と宇宙,地球よりも内側を公転する惑星を何というか,内惑星
地球と宇宙,海王星より外側を公転する天体を何というか,太陽系外縁天体
地球と宇宙,太陽の黒点が黒く見えるのは，周囲より温度がどのようであるからか,低いから。
地球と宇宙,太陽の黒点が周辺部では左右がつぶれて観察されるのは，太陽がどのような形をしているためか,球形
地球と宇宙,同じ時刻に見える月は，日がたつにつれて，「東から西」・「西から東」のどちらにずれていくか,西から東
地球と宇宙,日食が起こるときの月は，満月・新月のどちらか,新月
地球と宇宙,月食は，月・太陽 ・地球がどの順に一直線上に並ぶときに起こるか。,太陽ー地球ー月（月ー地球ー太陽）
地球と宇宙,金星が地球に近づくほど，地球から見た金星の大きさはどうなるか。,大きくなる。
地球と宇宙,金星は，真夜中に見ることができるか,できない。
自然と人間/科学技術と人間,ふつう，食べられる生物の数量は，食べる生物の数厨より「大きい」・「小さい」のどちらか。,大きい。
自然と人間/科学技術と人間,生態系における生物の数量関係をピラミッドの形として模式的に表すと，底辺に示されているのは，生産者・消費者のどちらか,生産者
自然と人間/科学技術と人間,ある地域の草食動物の数量が何らかの理由で増えると，しばらくの間，肉食動物の数量はどのようになるか。,増える。
自然と人間/科学技術と人間,植物・動物・細菌類のうち，生産者であるものはどれか。,植物
自然と人間/科学技術と人間,ある物質の生物体内の濃度が，外界よりも高くなる現象を何というか。,生物濃縮
自然と人間/科学技術と人間,微生物が有機物を水や二酸化炭素などの無機物に分解し，活動のためのエネルギーを得ているはたらきを何というか。,呼吸
自然と人間/科学技術と人間,大気の状態を知るためには，マツの葉のどこのよごれを顆微鏡で観察しするとよいか。,気孔
自然と人間/科学技術と人間,きれいな水で見られる生物は，サワガニ・アメリカザリガニのどちらか。,サワガニ
自然と人間/科学技術と人間,二酸化炭素の濃度が上昇している原因の1つは，何の大量消費か,化石燃料
自然と人間/科学技術と人間,種の絶滅は，おもにどのようなことが影響して起こるか,人間の活動
自然と人間/科学技術と人間,多くのプラスチックのおもな原料は何か。,石油
自然と人間/科学技術と人間,軽く， しなやかで強いため，テニスラケットなどのスポーツ用品や，人工衛星や航空機などに使われている素材を何というか,炭素繊維
自然と人間/科学技術と人間,変形しても，ある温度になるともとの形にもどる合金を何というか。,形状記憶合金
自然と人間/科学技術と人間,公害は発生しにくいが，建設するときに大規模な自然環境の破壊をともなうのは，水力発電・火力発電•原子力発電のどれか,水力発電
自然と人間/科学技術と人間,現在，日本での発電量が最も大きいのは，水力発電・火力発霞•原子力発電のどれか,火力発電
自然と人間/科学技術と人間,放射線は目に見えるか。,見えない。
自然と人間/科学技術と人間,放射線が原子をイオンにする性質を何というか,電離作用
自然と人間/科学技術と人間,放射線を出す能力の大きさを表す単位をカタカナで書け,ベクレル
自然と人間/科学技術と人間,放射線が人体に与える影響の大きさを表す単位をカタカナで書け,シーベルト
自然と人間/科学技術と人間,地熱•原子カ・バイオマスのうち，再生可能エネルギーにあてはまらないものはどれか,原子力
自然と人間/科学技術と人間,発電時に発生する排熱を給湯や暖房に利用するシステムを何というか,コージェネレーションシステム
自然と人間/科学技術と人間,「人工知能」をアルファベットの大文字2字で表せ。,AI
自然と人間/科学技術と人間,「バーチャル・リアリティ」をアルファベットの大文字2字で表せ,VR
自然と人間/科学技術と人間,資源の消費を減らし，資源を循環できるようにした社会を何というか。,循環型社会
自然と人間/科学技術と人間,豊かな生活に必要なものやエネルギーが， 現在や将来の世代も安定して手に入れることができる社会を何というか。,持続可能な社会
